country_code,year,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,source,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,indicator_code,gender_parity_in_education,school_enrollment_rate_filter
USA,2022,76.32,96.72,94.5,81.54,5.1,mock_data,2,95.61,5.1,2,72.50399999999999,51.0,30.59,0.047,79.96,EDUC_MOCK,0.8,3
USA,2023,86.9,92.38,74.71,63.46,5.56,mock_data,2,83.54499999999999,5.56,2,82.555,55.6,31.66,0.057,75.21,EDUC_MOCK,0.81,2
GBR,2010,61.22,84.33,87.13,89.6,5.11,mock_data,1,85.72999999999999,5.11,2,58.159,51.1,37.22,0.029,68.49,EDUC_MOCK,1.01,3
GBR,2011,98.55,89.51,58.92,64.44,5.26,mock_data,3,74.215,5.26,2,93.6225,52.6,23.75,0.038,64.68,EDUC_MOCK,1.02,2
GBR,2012,69.36,91.45,45.67,43.29,3.77,mock_data,1,68.56,3.77,1,65.892,37.7,39.19,0.082,60.25,EDUC_MOCK,0.73,1
GBR,2013,66.54,92.64,58.88,86.11,6.08,mock_data,1,75.76,6.08,3,63.213,60.8,31.15,0.078,71.71,EDUC_MOCK,1.01,2
GBR,2014,77.96,91.16,86.84,84.33,2.23,mock_data,2,89.0,2.23,1,74.062,22.3,14.85,0.076,72.05,EDUC_MOCK,0.88,3
GBR,2015,89.51,80.99,70.67,79.69,3.48,mock_data,2,75.83,3.48,1,85.0345,34.8,38.56,0.086,98.7,EDUC_MOCK,1.02,2
GBR,2016,90.65,92.67,91.49,70.32,4.38,mock_data,3,92.08,4.38,2,86.1175,43.8,36.61,0.079,72.71,EDUC_MOCK,0.87,3
GBR,2017,77.74,87.67,56.17,81.23,7.58,mock_data,2,71.92,7.58,3,73.853,75.8,30.33,0.03,64.74,EDUC_MOCK,0.98,2
GBR,2018,82.89,80.29,69.01,26.95,3.65,mock_data,2,74.65,3.65,1,78.74549999999999,36.5,10.47,0.087,97.58,EDUC_MOCK,0.93,2
GBR,2019,81.45,89.62,82.95,58.46,7.21,mock_data,2,86.285,7.21,3,77.3775,72.1,11.29,0.035,89.44,EDUC_MOCK,0.76,3
GBR,2020,92.87,86.76,48.45,40.45,2.62,mock_data,3,67.605,2.62,1,88.2265,26.200000000000003,10.73,0.069,90.38,EDUC_MOCK,0.91,1
GBR,2021,97.24,87.88,92.68,88.04,4.83,mock_data,3,90.28,4.83,2,92.378,48.3,15.89,0.074,65.48,EDUC_MOCK,1.02,3
GBR,2022,93.27,82.51,67.49,54.42,6.06,mock_data,3,75.0,6.06,3,88.6065,60.6,38.5,0.065,85.56,EDUC_MOCK,1.0,2
GBR,2023,98.32,81.74,88.73,57.08,7.24,mock_data,3,85.235,7.24,3,93.40399999999998,72.4,33.82,0.057,67.65,EDUC_MOCK,0.75,3
DEU,2010,89.17,84.86,95.35,24.22,7.04,mock_data,2,90.105,7.04,3,84.7115,70.4,24.17,0.084,60.92,EDUC_MOCK,0.92,3
DEU,2011,85.29,89.05,88.21,41.49,2.47,mock_data,2,88.63,2.47,1,81.02550000000001,24.700000000000003,19.23,0.094,74.88,EDUC_MOCK,0.89,3
DEU,2012,83.0,92.38,70.24,27.8,6.0,mock_data,2,81.31,6.0,2,78.85,60.0,34.7,0.082,87.07,EDUC_MOCK,1.01,2
DEU,2013,90.18,99.8,95.47,59.72,2.99,mock_data,3,97.635,2.99,1,85.671,29.9,33.75,0.074,97.22,EDUC_MOCK,0.75,3
DEU,2014,73.76,80.04,94.75,63.8,3.29,mock_data,1,87.39500000000001,3.29,1,70.072,32.9,31.98,0.096,97.32,EDUC_MOCK,0.94,3
DEU,2015,99.18,84.28,82.89,22.26,7.72,mock_data,3,83.58500000000001,7.72,3,94.221,77.2,20.77,0.063,95.23,EDUC_MOCK,0.92,2
DEU,2016,98.32,96.24,57.69,71.74,4.14,mock_data,3,76.965,4.14,2,93.40399999999998,41.4,15.29,0.1,87.19,EDUC_MOCK,1.03,2
DEU,2017,71.31,92.18,78.66,28.67,6.2,mock_data,1,85.42,6.2,3,67.7445,62.0,26.15,0.07,92.1,EDUC_MOCK,0.95,3
DEU,2018,85.31,82.57,50.15,24.07,4.15,mock_data,2,66.36,4.15,2,81.0445,41.5,21.68,0.099,79.53,EDUC_MOCK,0.85,1
DEU,2019,88.9,91.56,88.56,42.42,4.68,mock_data,2,90.06,4.68,2,84.455,46.8,15.05,0.035,64.63,EDUC_MOCK,0.87,3
DEU,2020,65.35,82.04,45.9,35.82,6.98,mock_data,1,63.97,6.98,3,62.08249999999999,69.80000000000001,38.14,0.041,72.74,EDUC_MOCK,0.72,1
DEU,2021,74.23,98.59,87.92,38.1,4.95,mock_data,1,93.255,4.95,2,70.5185,49.5,32.86,0.063,86.83,EDUC_MOCK,1.06,3
DEU,2022,75.89,99.78,44.57,47.85,8.0,mock_data,2,72.175,8.0,3,72.0955,80.0,32.13,0.078,68.8,EDUC_MOCK,0.76,2
DEU,2023,60.22,81.47,49.45,71.59,2.17,mock_data,1,65.46000000000001,2.17,1,57.209,21.7,10.47,0.076,80.15,EDUC_MOCK,0.99,1
JPN,2010,92.03,91.95,55.85,42.33,3.42,mock_data,3,73.9,3.42,1,87.4285,34.2,37.92,0.051,86.8,EDUC_MOCK,0.88,2
JPN,2011,70.16,92.78,90.86,80.08,5.8,mock_data,1,91.82,5.8,2,66.65199999999999,58.0,21.49,0.051,80.19,EDUC_MOCK,0.73,3
JPN,2012,76.2,86.69,70.92,22.09,6.57,mock_data,2,78.805,6.57,3,72.39,65.7,15.0,0.052,82.21,EDUC_MOCK,0.99,2
JPN,2013,83.03,89.35,93.43,58.37,4.5,mock_data,2,91.39,4.5,2,78.8785,45.0,19.41,0.048,83.29,EDUC_MOCK,0.94,3
JPN,2014,77.21,93.48,57.22,88.38,7.86,mock_data,2,75.35,7.86,3,73.34949999999999,78.60000000000001,20.0,0.077,69.28,EDUC_MOCK,1.01,2
JPN,2015,82.46,83.0,92.5,72.41,5.16,mock_data,2,87.75,5.16,2,78.33699999999999,51.6,32.31,0.069,75.18,EDUC_MOCK,1.06,3
JPN,2016,91.82,96.78,84.82,80.26,5.16,mock_data,3,90.8,5.16,2,87.22899999999998,51.6,20.38,0.078,64.72,EDUC_MOCK,0.77,3
JPN,2017,77.08,93.29,94.08,59.16,4.41,mock_data,2,93.685,4.41,2,73.226,44.1,11.38,0.037,87.97,EDUC_MOCK,0.89,3
JPN,2018,96.76,90.94,88.52,61.51,5.99,mock_data,3,89.72999999999999,5.99,2,91.922,59.900000000000006,33.87,0.061,87.6,EDUC_MOCK,1.09,3
JPN,2019,77.86,84.29,71.38,49.46,7.92,mock_data,2,77.83500000000001,7.92,3,73.967,79.2,25.85,0.059,67.16,EDUC_MOCK,0.98,2
JPN,2020,79.33,85.27,72.51,39.07,5.17,mock_data,2,78.89,5.17,2,75.3635,51.7,34.88,0.035,85.64,EDUC_MOCK,0.74,2
JPN,2021,63.62,86.93,49.47,35.79,3.67,mock_data,1,68.2,3.67,1,60.43899999999999,36.7,18.11,0.059,92.46,EDUC_MOCK,0.86,1
JPN,2022,98.5,80.07,86.71,63.14,5.01,mock_data,3,83.38999999999999,5.01,2,93.575,50.1,31.13,0.045,90.92,EDUC_MOCK,0.73,2
JPN,2023,93.94,90.94,60.18,57.23,4.08,mock_data,3,75.56,4.08,2,89.243,40.8,18.25,0.069,80.67,EDUC_MOCK,1.01,2
CHN,2010,72.33,85.95,41.95,38.34,7.74,mock_data,1,63.95,7.74,3,68.7135,77.4,15.4,0.055,79.96,EDUC_MOCK,1.06,1
CHN,2011,96.38,90.11,50.85,29.46,5.93,mock_data,3,70.48,5.93,2,91.561,59.3,24.29,0.031,80.29,EDUC_MOCK,0.97,2
CHN,2012,87.93,82.44,91.23,68.35,6.9,mock_data,2,86.83500000000001,6.9,3,83.5335,69.0,13.96,0.042,87.43,EDUC_MOCK,0.86,3
CHN,2013,61.43,98.25,83.02,47.16,6.5,mock_data,1,90.635,6.5,3,58.3585,65.0,17.47,0.096,91.22,EDUC_MOCK,0.85,3
CHN,2014,75.2,93.18,68.65,23.48,7.86,mock_data,2,80.915,7.86,3,71.44,78.60000000000001,16.59,0.073,79.45,EDUC_MOCK,0.89,2
CHN,2015,66.56,96.54,40.29,62.83,4.83,mock_data,1,68.415,4.83,2,63.232,48.3,34.31,0.091,83.34,EDUC_MOCK,1.0,1
CHN,2016,83.17,88.82,66.78,77.37,5.75,mock_data,2,77.8,5.75,2,79.0115,57.5,30.99,0.099,70.45,EDUC_MOCK,0.95,2
CHN,2017,77.93,84.38,48.65,26.6,6.42,mock_data,2,66.515,6.42,3,74.0335,64.2,15.14,0.059,95.42,EDUC_MOCK,0.98,1
CHN,2018,77.84,92.09,56.85,45.29,5.99,mock_data,2,74.47,5.99,2,73.948,59.900000000000006,27.29,0.091,76.78,EDUC_MOCK,1.07,2
CHN,2019,83.4,87.37,46.75,66.49,7.17,mock_data,2,67.06,7.17,3,79.23,71.7,31.91,0.093,75.34,EDUC_MOCK,0.81,1
CHN,2020,66.49,96.06,56.36,25.4,4.2,mock_data,1,76.21000000000001,4.2,2,63.1655,42.0,26.35,0.074,79.06,EDUC_MOCK,0.97,2
CHN,2021,79.15,95.57,44.91,66.23,4.71,mock_data,2,70.24,4.71,2,75.1925,47.1,14.99,0.044,78.16,EDUC_MOCK,0.78,2
CHN,2022,68.22,88.61,96.57,36.37,6.38,mock_data,1,92.59,6.38,3,64.809,63.8,10.29,0.028,66.85,EDUC_MOCK,1.01,3
CHN,2023,83.0,87.6,63.61,60.24,2.25,mock_data,2,75.60499999999999,2.25,1,78.85,22.5,36.06,0.028,94.21,EDUC_MOCK,0.78,2
FRA,2010,81.15,99.24,51.05,83.68,7.89,mock_data,2,75.145,7.89,3,77.0925,78.89999999999999,14.25,0.054,67.11,EDUC_MOCK,0.99,2
FRA,2011,95.35,85.52,84.37,72.68,2.45,mock_data,3,84.945,2.45,1,90.5825,24.5,28.81,0.069,69.5,EDUC_MOCK,1.02,2
FRA,2012,67.41,88.74,40.05,33.33,5.02,mock_data,1,64.395,5.02,2,64.03949999999999,50.2,32.04,0.044,76.2,EDUC_MOCK,1.01,1
FRA,2013,90.61,86.57,86.32,60.41,6.72,mock_data,3,86.445,6.72,3,86.0795,67.2,14.09,0.054,66.76,EDUC_MOCK,0.88,3
FRA,2014,90.1,86.29,40.71,87.88,6.38,mock_data,3,63.5,6.38,3,85.59499999999998,63.8,10.94,0.095,89.31,EDUC_MOCK,0.85,1
FRA,2015,85.39,81.95,86.42,40.46,6.04,mock_data,2,84.185,6.04,3,81.12049999999999,60.4,17.3,0.078,96.92,EDUC_MOCK,1.02,2
FRA,2016,76.74,96.02,49.33,78.2,6.7,mock_data,2,72.675,6.7,3,72.90299999999999,67.0,16.94,0.05,74.05,EDUC_MOCK,1.01,2
FRA,2017,82.54,93.41,85.04,42.2,4.67,mock_data,2,89.225,4.67,2,78.413,46.7,20.11,0.047,62.18,EDUC_MOCK,0.72,3
FRA,2018,93.31,90.44,43.6,58.45,5.54,mock_data,3,67.02,5.54,2,88.6445,55.4,20.85,0.032,99.98,EDUC_MOCK,0.71,1
FRA,2019,95.75,82.75,84.81,87.58,6.24,mock_data,3,83.78,6.24,3,90.9625,62.400000000000006,29.29,0.043,92.29,EDUC_MOCK,0.87,2
FRA,2020,92.76,84.83,83.85,45.66,4.49,mock_data,3,84.34,4.49,2,88.122,44.900000000000006,29.78,0.071,72.56,EDUC_MOCK,0.71,2
FRA,2021,67.94,86.65,44.11,61.74,7.0,mock_data,1,65.38,7.0,3,64.54299999999999,70.0,17.59,0.062,92.3,EDUC_MOCK,1.05,1
FRA,2022,81.75,98.05,80.77,81.45,3.97,mock_data,2,89.41,3.97,1,77.6625,39.7,38.07,0.05,80.86,EDUC_MOCK,0.95,3
FRA,2023,81.16,82.54,97.04,60.82,4.19,mock_data,2,89.79,4.19,2,77.10199999999999,41.900000000000006,19.02,0.09,88.48,EDUC_MOCK,0.87,3
IND,2010,86.59,93.88,53.89,28.92,7.7,mock_data,2,73.88499999999999,7.7,3,82.2605,77.0,38.23,0.027,91.86,EDUC_MOCK,0.78,2
IND,2011,95.5,98.51,96.07,86.57,4.84,mock_data,3,97.29,4.84,2,90.725,48.4,28.54,0.082,70.35,EDUC_MOCK,1.0,3
IND,2012,71.16,84.75,72.34,66.53,3.43,mock_data,1,78.545,3.43,1,67.60199999999999,34.300000000000004,10.75,0.034,65.53,EDUC_MOCK,0.97,2
IND,2013,63.7,92.72,47.29,88.15,3.79,mock_data,1,70.005,3.79,1,60.515,37.9,38.93,0.073,81.83,EDUC_MOCK,1.0,2
IND,2014,81.42,80.62,60.26,49.52,3.35,mock_data,2,70.44,3.35,1,77.349,33.5,12.9,0.091,82.49,EDUC_MOCK,0.76,2
IND,2015,83.53,92.27,57.04,70.86,7.69,mock_data,2,74.655,7.69,3,79.3535,76.9,34.43,0.03,69.97,EDUC_MOCK,1.08,2
IND,2016,91.13,95.55,49.07,87.84,4.92,mock_data,3,72.31,4.92,2,86.5735,49.2,35.58,0.069,87.05,EDUC_MOCK,0.86,2
IND,2017,90.8,94.69,81.25,66.53,2.6,mock_data,3,87.97,2.6,1,86.25999999999999,26.0,19.97,0.098,75.42,EDUC_MOCK,1.09,3
IND,2018,92.9,84.53,59.99,51.14,4.74,mock_data,3,72.26,4.74,2,88.255,47.400000000000006,19.82,0.094,67.38,EDUC_MOCK,0.94,2
IND,2019,91.8,85.74,57.11,38.6,3.43,mock_data,3,71.425,3.43,1,87.21,34.300000000000004,21.24,0.03,88.04,EDUC_MOCK,0.84,2
IND,2020,66.3,90.63,43.14,44.11,3.27,mock_data,1,66.88499999999999,3.27,1,62.98499999999999,32.7,17.02,0.035,86.22,EDUC_MOCK,0.75,1
IND,2021,70.57,94.5,49.6,75.62,2.83,mock_data,1,72.05,2.83,1,67.04149999999998,28.3,36.2,0.061,62.89,EDUC_MOCK,0.99,2
IND,2022,68.17,84.65,75.62,44.77,5.29,mock_data,1,80.135,5.29,2,64.7615,52.9,16.83,0.089,98.34,EDUC_MOCK,0.73,2
IND,2023,83.23,80.03,81.41,50.92,3.8,mock_data,2,80.72,3.8,1,79.0685,38.0,15.76,0.065,70.64,EDUC_MOCK,0.92,2
AUS,2010,74.25,99.78,61.5,51.65,6.54,mock_data,1,80.64,6.54,3,70.5375,65.4,14.41,0.079,63.19,EDUC_MOCK,0.71,2
AUS,2011,70.49,87.14,90.9,61.13,7.53,mock_data,1,89.02000000000001,7.53,3,66.96549999999999,75.3,22.67,0.048,80.85,EDUC_MOCK,0.78,3
AUS,2012,75.82,94.93,69.31,80.71,2.34,mock_data,2,82.12,2.34,1,72.029,23.4,13.34,0.06,80.98,EDUC_MOCK,0.79,2
AUS,2013,99.53,81.06,69.21,80.02,3.33,mock_data,3,75.13499999999999,3.33,1,94.5535,33.3,26.43,0.076,72.75,EDUC_MOCK,1.05,2
AUS,2014,71.45,93.81,64.66,23.13,6.84,mock_data,1,79.235,6.84,3,67.8775,68.4,15.99,0.065,81.53,EDUC_MOCK,0.84,2
AUS,2015,95.66,83.92,82.82,33.98,5.02,mock_data,3,83.37,5.02,2,90.877,50.2,22.73,0.068,93.41,EDUC_MOCK,0.71,2
AUS,2016,81.41,83.02,65.89,81.55,6.0,mock_data,2,74.455,6.0,2,77.33949999999999,60.0,22.07,0.095,76.59,EDUC_MOCK,0.94,2
AUS,2017,69.69,99.42,68.19,24.0,5.67,mock_data,1,83.805,5.67,2,66.2055,56.7,12.98,0.066,86.29,EDUC_MOCK,1.01,2
AUS,2018,69.07,87.98,96.53,22.76,7.7,mock_data,1,92.255,7.7,3,65.61649999999999,77.0,28.08,0.08,83.91,EDUC_MOCK,1.1,3
AUS,2019,70.85,82.34,86.31,74.84,2.64,mock_data,1,84.325,2.64,1,67.30749999999999,26.4,39.54,0.07,99.7,EDUC_MOCK,1.0,2
AUS,2020,82.21,99.06,65.64,72.11,7.32,mock_data,2,82.35,7.32,3,78.09949999999999,73.2,14.9,0.068,63.95,EDUC_MOCK,0.92,2
AUS,2021,95.52,98.64,46.56,68.14,6.42,mock_data,3,72.6,6.42,3,90.744,64.2,30.73,0.03,86.9,EDUC_MOCK,0.95,2
AUS,2022,80.4,80.5,61.86,81.42,4.76,mock_data,2,71.18,4.76,2,76.38,47.6,27.48,0.096,88.11,EDUC_MOCK,0.95,2
AUS,2023,68.01,84.35,67.58,44.8,2.74,mock_data,1,75.965,2.74,1,64.6095,27.4,31.15,0.092,95.33,EDUC_MOCK,0.96,2
BRA,2010,60.52,81.48,49.36,33.27,2.35,mock_data,1,65.42,2.35,1,57.494,23.5,20.18,0.092,84.25,EDUC_MOCK,0.8,1
BRA,2011,61.18,83.36,87.28,71.79,7.2,mock_data,1,85.32,7.2,3,58.121,72.0,15.08,0.043,74.76,EDUC_MOCK,0.94,3
BRA,2012,69.02,89.98,81.25,76.82,4.82,mock_data,1,85.61500000000001,4.82,2,65.56899999999999,48.2,25.23,0.071,68.91,EDUC_MOCK,0.99,3
BRA,2013,60.52,81.77,50.86,63.18,5.58,mock_data,1,66.315,5.58,2,57.494,55.8,34.67,0.086,78.53,EDUC_MOCK,1.05,1
BRA,2014,65.36,89.21,54.06,85.0,2.1,mock_data,1,71.63499999999999,2.1,1,62.092,21.0,27.96,0.055,85.2,EDUC_MOCK,0.82,2
BRA,2015,81.05,89.97,86.46,42.36,2.48,mock_data,2,88.215,2.48,1,76.99749999999999,24.8,14.77,0.026,67.27,EDUC_MOCK,1.02,3
BRA,2016,92.93,97.18,44.94,40.64,3.93,mock_data,3,71.06,3.93,1,88.2835,39.3,29.56,0.059,98.52,EDUC_MOCK,0.9,2
BRA,2017,93.42,83.8,97.55,32.5,2.36,mock_data,3,90.675,2.36,1,88.749,23.6,12.81,0.072,83.37,EDUC_MOCK,0.85,3
BRA,2018,72.63,92.38,89.79,34.37,2.07,mock_data,1,91.085,2.07,1,68.99849999999999,20.7,27.46,0.092,67.56,EDUC_MOCK,0.85,3
BRA,2019,88.8,95.23,43.93,72.07,2.07,mock_data,2,69.58,2.07,1,84.36,20.7,36.79,0.084,77.88,EDUC_MOCK,0.96,1
BRA,2020,88.05,86.86,81.99,46.37,4.62,mock_data,2,84.425,4.62,2,83.6475,46.2,28.09,0.076,80.96,EDUC_MOCK,0.87,2
BRA,2021,66.37,92.98,63.69,44.26,5.62,mock_data,1,78.33500000000001,5.62,2,63.0515,56.2,20.16,0.054,88.12,EDUC_MOCK,0.96,2
BRA,2022,81.0,83.06,52.36,49.38,2.31,mock_data,2,67.71000000000001,2.31,1,76.95,23.1,28.67,0.047,69.46,EDUC_MOCK,0.96,1
BRA,2023,67.78,80.97,70.55,78.63,7.74,mock_data,1,75.75999999999999,7.74,3,64.39099999999999,77.4,22.14,0.073,80.53,EDUC_MOCK,0.72,2
CAN,2010,70.75,81.06,80.29,53.51,7.65,mock_data,1,80.67500000000001,7.65,3,67.21249999999999,76.5,39.01,0.087,66.7,EDUC_MOCK,0.74,2
CAN,2011,84.91,91.57,70.89,83.66,5.51,mock_data,2,81.22999999999999,5.51,2,80.66449999999999,55.1,35.51,0.087,86.52,EDUC_MOCK,0.89,2
CAN,2012,82.37,83.61,42.41,66.98,5.12,mock_data,2,63.01,5.12,2,78.25150000000001,51.2,22.79,0.079,65.46,EDUC_MOCK,0.86,1
CAN,2013,62.23,83.63,61.07,33.37,6.55,mock_data,1,72.35,6.55,3,59.1185,65.5,14.5,0.043,74.79,EDUC_MOCK,1.08,2
CAN,2014,91.08,81.43,97.59,47.25,3.16,mock_data,3,89.51,3.16,1,86.526,31.6,39.32,0.026,90.71,EDUC_MOCK,0.91,3
CAN,2015,65.04,89.96,78.07,37.41,3.95,mock_data,1,84.01499999999999,3.95,1,61.788,39.5,26.8,0.082,82.44,EDUC_MOCK,0.9,2
CAN,2016,73.14,87.02,75.66,56.98,4.09,mock_data,1,81.34,4.09,2,69.483,40.9,14.89,0.078,74.59,EDUC_MOCK,1.04,2
CAN,2017,99.59,95.6,57.47,43.67,5.91,mock_data,3,76.535,5.91,2,94.6105,59.1,32.44,0.054,68.5,EDUC_MOCK,0.99,2
CAN,2018,78.01,97.37,45.6,75.39,4.54,mock_data,2,71.485,4.54,2,74.1095,45.4,37.08,0.075,75.8,EDUC_MOCK,1.0,2
CAN,2019,70.98,89.98,55.46,73.4,2.5,mock_data,1,72.72,2.5,1,67.431,25.0,16.38,0.054,60.39,EDUC_MOCK,1.02,2
CAN,2020,65.42,91.88,92.54,23.08,6.58,mock_data,1,92.21,6.58,3,62.149,65.8,13.69,0.054,66.08,EDUC_MOCK,0.87,3
CAN,2021,98.72,95.42,54.17,21.26,6.29,mock_data,3,74.795,6.29,3,93.784,62.9,16.95,0.06,92.97,EDUC_MOCK,0.94,2
CAN,2022,94.07,97.16,40.27,49.1,7.96,mock_data,3,68.715,7.96,3,89.36649999999999,79.6,38.89,0.071,61.24,EDUC_MOCK,0.8,1
CAN,2023,91.93,80.28,70.08,46.04,4.79,mock_data,3,75.18,4.79,2,87.3335,47.9,21.4,0.098,92.09,EDUC_MOCK,0.93,2
ZAF,2010,64.33,92.02,92.45,33.2,6.65,mock_data,1,92.235,6.65,3,61.1135,66.5,32.45,0.026,67.17,EDUC_MOCK,0.89,3
ZAF,2011,73.56,99.05,56.47,80.5,4.43,mock_data,1,77.75999999999999,4.43,2,69.882,44.3,15.6,0.079,81.63,EDUC_MOCK,0.84,2
ZAF,2012,86.98,83.86,85.99,78.15,3.5,mock_data,2,84.925,3.5,1,82.631,35.0,22.1,0.061,68.71,EDUC_MOCK,0.8,2
ZAF,2013,91.74,89.95,70.85,56.62,7.86,mock_data,3,80.4,7.86,3,87.15299999999999,78.60000000000001,25.31,0.06,76.59,EDUC_MOCK,0.77,2
ZAF,2014,86.84,82.55,68.22,25.98,3.94,mock_data,2,75.38499999999999,3.94,1,82.498,39.4,12.58,0.09,88.52,EDUC_MOCK,0.89,2
ZAF,2015,83.13,88.72,73.11,22.44,5.78,mock_data,2,80.91499999999999,5.78,2,78.97349999999999,57.8,17.38,0.027,92.6,EDUC_MOCK,0.9,2
ZAF,2016,68.15,94.62,94.37,35.05,5.53,mock_data,1,94.495,5.53,2,64.7425,55.3,16.68,0.094,61.62,EDUC_MOCK,0.88,3
ZAF,2017,62.34,84.07,73.58,23.72,4.05,mock_data,1,78.82499999999999,4.05,2,59.223,40.5,30.41,0.099,92.58,EDUC_MOCK,0.86,2
ZAF,2018,99.69,99.87,86.6,76.92,6.37,mock_data,3,93.235,6.37,3,94.7055,63.7,13.51,0.071,83.07,EDUC_MOCK,0.74,3
ZAF,2019,86.51,96.45,51.99,50.8,2.39,mock_data,2,74.22,2.39,1,82.1845,23.9,22.74,0.091,65.7,EDUC_MOCK,0.83,2
ZAF,2020,89.42,99.92,72.59,41.83,7.53,mock_data,2,86.255,7.53,3,84.949,75.3,15.96,0.061,78.91,EDUC_MOCK,0.8,3
ZAF,2021,78.5,89.65,40.27,86.51,5.07,mock_data,2,64.96000000000001,5.07,2,74.575,50.7,31.85,0.083,83.0,EDUC_MOCK,0.79,1
ZAF,2022,95.72,99.56,92.44,25.24,6.24,mock_data,3,96.0,6.24,3,90.934,62.400000000000006,16.16,0.056,86.97,EDUC_MOCK,0.73,3
ZAF,2023,75.29,90.16,45.56,39.09,7.1,mock_data,2,67.86,7.1,3,71.52550000000001,71.0,30.64,0.033,84.19,EDUC_MOCK,0.95,1
X11,2010,99.57,97.76,64.72,30.8,7.5,mock_data,3,81.24000000000001,7.5,3,94.59149999999998,75.0,22.79,0.043,72.47,EDUC_MOCK,0.71,2
X11,2011,61.13,94.01,64.6,25.24,6.16,mock_data,1,79.305,6.16,3,58.0735,61.6,34.59,0.081,90.3,EDUC_MOCK,1.02,2
X11,2012,81.53,91.28,49.36,87.16,3.89,mock_data,2,70.32,3.89,1,77.45349999999999,38.9,37.4,0.043,96.9,EDUC_MOCK,0.93,2
X11,2013,91.37,88.07,79.77,87.11,7.51,mock_data,3,83.91999999999999,7.51,3,86.8015,75.1,19.16,0.029,95.01,EDUC_MOCK,0.81,2
X11,2014,71.78,90.3,75.49,44.67,3.82,mock_data,1,82.895,3.82,1,68.191,38.2,35.41,0.032,94.81,EDUC_MOCK,0.71,2
X11,2015,89.03,87.4,92.73,80.65,7.84,mock_data,2,90.065,7.84,3,84.57849999999999,78.4,30.83,0.097,75.33,EDUC_MOCK,1.02,3
X11,2016,66.32,93.08,42.59,78.04,4.27,mock_data,1,67.83500000000001,4.27,2,63.00399999999999,42.7,16.67,0.058,72.88,EDUC_MOCK,0.96,1
X11,2017,80.75,99.3,82.68,24.53,7.51,mock_data,2,90.99,7.51,3,76.71249999999999,75.1,20.65,0.065,92.09,EDUC_MOCK,0.9,3
X11,2018,91.3,90.2,79.72,22.99,4.14,mock_data,3,84.96000000000001,4.14,2,86.735,41.4,31.65,0.025,91.45,EDUC_MOCK,0.82,2
X11,2019,72.74,80.71,85.54,54.17,6.88,mock_data,1,83.125,6.88,3,69.103,68.8,33.18,0.055,90.63,EDUC_MOCK,0.99,2
X11,2020,98.63,95.68,93.92,64.99,5.16,mock_data,3,94.8,5.16,2,93.6985,51.6,28.29,0.049,94.99,EDUC_MOCK,1.03,3
