country_code,year,gdp_growth,unemployment_rate,inflation_rate,trade_balance,foreign_direct_investment,gdp_per_capita,source,gdp_growth_filter,unemployment_rate_filter,inflation_rate_filter,average_gdp_growth,total_trade_balance,gdp_growth_rate_percentage,gdp_per_capita_growth,indicator_code,life_expectancy,maternal_mortality,healthcare_expenditure,infant_mortality,disease_burden,life_expectancy_filter,maternal_mortality_filter,healthcare_expenditure_filter,average_life_expectancy,total_healthcare_expenditure,under5_mortality_per_1k,maternal_mortality_ratio,physicians_per_1k,hospital_beds_per_10k,suicide_rate_per_100k,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,gender_parity_in_education,co2_emissions,renewable_energy_usage,forest_area_pct,energy_use_kg_oil_pc,co2_emissions_filter,renewable_energy_usage_filter,energy_use_filter,total_co2_emissions,renewable_energy_percentage,deforestation_rate,average_deforestation_rate,water_usage,pm25,electric_power_kwh_pc,freshwater_withdrawal_pct,population_total,population_growth,fertility_rate,age_dependency_ratio,gini_index,poverty_rate,homicide_rate,child_labor,stunting_rate,immunization_dpt,internet_usage,mobile_subscriptions,scientific_articles,patent_applications,research_expenditure,broadband_subscriptions,innovation_index,trade_percentage_of_gdp,ip_payments,high_tech_exports,trade_balance_goods,trade_balance_services,exports_of_goods_services
USA,2020,-1.57,12.45,11.08,1.16,145450000000.0,39446.14,mock_data,Low,High,High,-1.2560000000000002,3.4799999999999995,-1.57,5.71,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2021,2.95,9.27,10.37,4.83,110670000000.0,36744.88,mock_data,Medium,Medium,High,2.3600000000000003,14.49,2.95,2.98,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2022,-1.17,11.41,8.9,-8.99,8470000000.000001,55778.81,mock_data,Low,High,High,-0.9359999999999999,-26.97,-1.17,6.4,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2023,4.94,14.06,11.98,1.05,18550000000.0,33175.23,mock_data,High,High,High,3.9520000000000004,3.1500000000000004,4.94,0.48,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2010,7.71,9.62,4.37,-9.8,126640000000.0,34188.85,mock_data,High,Medium,Medium,6.168,-29.400000000000002,7.71,-1.49,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2011,6.6,5.07,9.65,-1.25,126680000000.0,9706.5,mock_data,High,Medium,High,5.28,-3.75,6.6,-0.84,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2012,2.32,9.87,1.0,-5.05,78060000000.0,47712.27,mock_data,Medium,Medium,Low,1.8559999999999999,-15.149999999999999,2.32,5.34,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2013,6.29,4.34,2.27,-4.02,64040000000.00001,36129.65,mock_data,High,Low,Low,5.032,-12.059999999999999,6.29,6.69,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2014,5.79,4.67,5.36,2.39,89010000000.0,2231.86,mock_data,High,Low,Medium,4.632000000000001,7.17,5.79,2.23,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2015,-1.78,10.88,2.46,10.64,135960000000.00002,40401.88,mock_data,Low,High,Low,-1.4240000000000002,31.92,-1.78,-1.85,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2016,2.99,6.08,8.47,7.42,32710000000.0,19840.58,mock_data,Medium,Medium,High,2.3920000000000003,22.259999999999998,2.99,3.13,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2017,6.58,7.27,10.79,-5.17,139170000000.0,29910.21,mock_data,High,Medium,High,5.264,-15.51,6.58,3.35,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2018,4.17,5.64,10.37,-4.24,120730000000.0,26557.02,mock_data,High,Medium,High,3.3360000000000003,-12.72,4.17,0.7,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2019,2.08,9.02,2.07,11.1,58300000000.0,60274.5,mock_data,Medium,Medium,Low,1.6640000000000001,33.3,2.08,4.27,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2020,2.66,3.09,6.81,10.47,147650000000.0,55144.87,mock_data,Medium,Low,High,2.128,31.410000000000004,2.66,2.27,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2021,2.03,4.02,9.05,8.74,27260000000.0,76474.89,mock_data,Medium,Low,High,1.6239999999999999,26.22,2.03,-0.72,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2022,7.43,7.57,8.35,1.91,142320000000.0,60373.49,mock_data,High,Medium,High,5.944,5.7299999999999995,7.43,-1.29,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2023,2.31,3.69,10.64,7.48,126150000000.0,45568.75,mock_data,Medium,Low,High,1.848,22.44,2.31,-2.02,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2010,3.89,12.06,11.12,7.88,6560000000.0,4595.3,mock_data,High,High,High,3.112,23.64,3.89,-0.32,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2011,0.57,2.43,11.68,-4.13,128940000000.0,37535.68,mock_data,Medium,Low,High,0.45599999999999996,-12.39,0.57,0.49,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2012,1.04,9.11,0.94,13.65,29130000000.0,48679.84,mock_data,Medium,Medium,Low,0.8320000000000001,40.95,1.04,3.87,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2013,1.21,2.69,8.03,-3.14,24080000000.0,34492.86,mock_data,Medium,Low,High,0.968,-9.42,1.21,-2.22,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2014,5.61,12.38,10.45,11.88,37790000000.0,75426.79,mock_data,High,High,High,4.488,35.64,5.61,-1.14,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2015,-1.79,13.65,6.93,13.09,54290000000.0,30696.73,mock_data,Low,High,High,-1.4320000000000002,39.269999999999996,-1.79,-1.86,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2016,-1.22,11.11,3.94,-5.73,34560000000.0,16750.65,mock_data,Low,High,Medium,-0.976,-17.19,-1.22,0.9,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2017,-0.24,10.35,4.89,4.91,16629999999.999998,4654.86,mock_data,Low,High,Medium,-0.192,14.73,-0.24,-2.46,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2018,2.36,8.6,1.72,8.27,103290000000.0,25300.39,mock_data,Medium,Medium,Low,1.888,24.81,2.36,6.91,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2019,0.71,2.55,5.49,0.21,145920000000.0,35016.8,mock_data,Medium,Low,Medium,0.568,0.63,0.71,-0.71,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2020,2.86,13.6,5.28,13.49,81030000000.0,32384.2,mock_data,Medium,High,Medium,2.288,40.47,2.86,2.58,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2021,-1.26,3.6,4.56,-7.69,80520000000.0,51878.08,mock_data,Low,Low,Medium,-1.008,-23.07,-1.26,0.56,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2022,6.51,11.89,11.27,0.35,69730000000.0,56227.19,mock_data,High,High,High,5.208,1.0499999999999998,6.51,-1.94,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2023,3.3,11.34,6.21,-3.47,6040000000.0,39039.75,mock_data,High,High,High,2.64,-10.41,3.3,2.4,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2010,2.65,4.36,9.2,10.92,7610000000.0,22756.21,mock_data,Medium,Low,High,2.12,32.76,2.65,6.09,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2011,3.14,14.99,0.17,11.6,62280000000.0,12473.84,mock_data,High,High,Low,2.5120000000000005,34.8,3.14,6.03,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2012,2.01,5.07,3.83,9.76,125550000000.0,64927.84,mock_data,Medium,Medium,Medium,1.6079999999999999,29.28,2.01,3.78,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2013,6.74,14.23,1.95,-4.11,148330000000.0,66084.26,mock_data,High,High,Low,5.392,-12.330000000000002,6.74,6.84,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2014,0.06,5.73,4.7,10.0,17360000000.0,20656.21,mock_data,Medium,Medium,Medium,0.048,30.0,0.06,5.99,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2015,-1.04,13.22,11.42,-9.26,143540000000.0,70044.7,mock_data,Low,High,High,-0.8320000000000001,-27.78,-1.04,5.19,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2016,3.04,2.25,3.4,-1.46,57440000000.0,27231.91,mock_data,High,Low,Medium,2.4320000000000004,-4.38,3.04,6.15,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2017,4.6,10.89,5.6,14.51,109860000000.0,65881.77,mock_data,High,High,Medium,3.6799999999999997,43.53,4.6,6.53,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2018,-0.26,11.49,6.28,13.01,149920000000.0,55196.84,mock_data,Low,High,High,-0.20800000000000002,39.03,-0.26,5.47,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2019,7.66,5.82,6.47,11.98,87520000000.0,55991.68,mock_data,High,Medium,High,6.128,35.94,7.66,0.83,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2020,-1.78,12.09,2.56,-9.12,102820000000.0,53142.19,mock_data,Low,High,Low,-1.4240000000000002,-27.36,-1.78,3.86,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2021,-1.95,4.07,8.68,13.63,91700000000.0,73555.61,mock_data,Low,Low,High,-1.56,40.89,-1.95,1.39,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2022,2.01,10.27,6.67,-0.53,110190000000.0,33737.94,mock_data,Medium,High,High,1.6079999999999999,-1.59,2.01,0.87,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2023,-0.67,10.4,2.53,10.8,77520000000.0,63128.18,mock_data,Low,High,Low,-0.536,32.400000000000006,-0.67,3.99,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2010,5.63,7.92,9.92,1.53,50020000000.0,22785.06,mock_data,High,Medium,High,4.5040000000000004,4.59,5.63,4.58,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2011,2.41,11.15,7.14,8.47,66160000000.0,14842.74,mock_data,Medium,High,High,1.9280000000000002,25.410000000000004,2.41,2.56,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2012,1.89,3.7,9.58,-7.2,138170000000.0,23256.52,mock_data,Medium,Low,High,1.512,-21.6,1.89,6.58,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2013,-0.66,3.44,1.15,-6.61,141790000000.0,13923.21,mock_data,Low,Low,Low,-0.528,-19.830000000000002,-0.66,6.58,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2014,7.17,8.33,7.13,8.85,107460000000.0,25623.53,mock_data,High,Medium,High,5.736000000000001,26.549999999999997,7.17,0.47,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2015,1.73,8.46,11.93,8.0,23770000000.0,79294.87,mock_data,Medium,Medium,High,1.3840000000000001,24.0,1.73,3.44,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2016,3.11,3.6,9.05,5.1,69560000000.0,43705.81,mock_data,High,Low,High,2.488,15.299999999999999,3.11,4.31,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2017,4.62,14.78,10.2,-6.6,99220000000.0,54076.13,mock_data,High,High,High,3.696,-19.799999999999997,4.62,-2.2,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2018,3.26,9.02,8.71,-0.05,46570000000.0,42870.19,mock_data,High,Medium,High,2.608,-0.15000000000000002,3.26,2.72,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2019,5.57,6.9,3.59,10.11,109760000000.0,55134.8,mock_data,High,Medium,Medium,4.456,30.33,5.57,5.2,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2020,6.18,10.03,7.69,11.43,104020000000.0,71699.47,mock_data,High,High,High,4.944,34.29,6.18,1.61,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2021,4.25,6.45,9.94,6.63,5810000000.0,3808.5,mock_data,High,Medium,High,3.4000000000000004,19.89,4.25,-0.93,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2022,5.09,14.97,4.85,11.84,100910000000.0,28090.86,mock_data,High,High,Medium,4.072,35.519999999999996,5.09,-1.74,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2023,4.68,7.17,8.96,9.83,5020000000.0,66606.81,mock_data,High,Medium,High,3.7439999999999998,29.490000000000002,4.68,5.96,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2010,0.02,13.49,3.49,13.69,50150000000.0,15260.36,mock_data,Medium,High,Medium,0.016,41.07,0.02,6.03,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2011,4.5,13.77,7.38,3.35,34830000000.0,9203.66,mock_data,High,High,High,3.6,10.05,4.5,-2.89,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2012,-1.39,6.74,10.23,-8.4,49590000000.0,5626.25,mock_data,Low,Medium,High,-1.1119999999999999,-25.200000000000003,-1.39,1.54,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,5.61,8.03,2.61,4.01,100090000000.0,11070.07,mock_data,High,Medium,Low,4.488,12.03,5.61,-0.86,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,-0.03,3.15,8.64,-7.18,1850000000.0,33577.7,mock_data,Low,Low,High,-0.024,-21.54,-0.03,2.25,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2015,3.18,13.06,6.77,-9.11,61880000000.0,52139.0,mock_data,High,High,High,2.5440000000000005,-27.33,3.18,5.2,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2016,2.78,11.87,7.33,11.99,19890000000.0,26253.6,mock_data,Medium,High,High,2.2239999999999998,35.97,2.78,-1.17,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2017,3.99,13.83,9.78,8.4,47590000000.0,63110.55,mock_data,High,High,High,3.192,25.200000000000003,3.99,5.76,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2018,4.71,10.96,5.56,-1.18,102350000000.0,45812.59,mock_data,High,High,Medium,3.7680000000000002,-3.54,4.71,-2.12,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2019,-1.2,7.81,1.18,0.97,58000000000.0,29950.64,mock_data,Low,Medium,Low,-0.96,2.91,-1.2,-1.07,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2020,-1.94,4.77,6.12,-0.22,107350000000.0,39129.63,mock_data,Low,Low,High,-1.552,-0.66,-1.94,6.82,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2021,2.12,10.91,6.32,13.49,84890000000.0,8603.07,mock_data,Medium,High,High,1.6960000000000002,40.47,2.12,1.43,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2022,7.93,14.69,9.29,2.59,17480000000.0,72222.84,mock_data,High,High,High,6.344,7.77,7.93,0.57,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2023,2.55,2.16,6.45,-1.63,54950000000.0,19979.24,mock_data,Medium,Low,High,2.04,-4.89,2.55,3.7,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2010,7.29,13.43,3.32,0.67,77140000000.0,53572.38,mock_data,High,High,Medium,5.832000000000001,2.0100000000000002,7.29,-2.24,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
