country_code,year,population_total,population_growth,fertility_rate,age_dependency_ratio,gini_index,poverty_rate,homicide_rate,child_labor,stunting_rate,immunization_dpt,source,indicator_code
FRA,2023,595169766.0,2.22,3.12,58.42,47.3,23.71,15.65,13.08,24.58,92.02,mock_data,SOCDEM_MOCK
IND,2010,1482132691.0,0.21,3.0,42.77,59.98,7.22,8.4,0.47,17.11,68.77,mock_data,SOCDEM_MOCK
IND,2011,796384595.0,0.85,4.77,26.61,64.41,7.11,18.46,7.85,29.9,57.47,mock_data,SOCDEM_MOCK
IND,2012,1470674282.0,0.05,2.46,40.89,40.34,31.53,4.35,5.41,7.06,50.06,mock_data,SOCDEM_MOCK
IND,2013,1366583961.0,0.86,3.95,24.75,43.5,20.72,15.19,7.96,7.98,70.45,mock_data,SOCDEM_MOCK
IND,2014,1499440884.0,1.94,3.85,47.94,43.13,3.8,12.33,6.08,13.85,83.14,mock_data,SOCDEM_MOCK
IND,2015,386657738.0,0.18,1.67,77.8,43.17,22.95,16.81,19.22,7.04,67.85,mock_data,SOCDEM_MOCK
IND,2016,937622044.0,0.31,1.74,21.66,61.67,30.81,11.41,17.74,6.59,53.31,mock_data,SOCDEM_MOCK
IND,2017,280879322.0,1.65,4.57,39.63,56.95,7.46,10.94,11.36,28.29,64.28,mock_data,SOCDEM_MOCK
IND,2018,946843171.0,1.95,4.17,35.43,49.38,8.36,2.48,18.27,26.12,76.63,mock_data,SOCDEM_MOCK
IND,2019,599785703.0,0.55,4.89,78.37,39.35,24.91,2.12,19.59,17.11,50.64,mock_data,SOCDEM_MOCK
IND,2020,1187302325.0,1.47,3.95,20.78,36.84,37.64,1.9,15.73,19.57,90.9,mock_data,SOCDEM_MOCK
IND,2021,187144471.0,2.13,1.36,59.67,43.65,35.19,23.93,5.25,18.65,67.84,mock_data,SOCDEM_MOCK
IND,2022,612786150.0,0.1,2.11,65.15,53.72,38.25,3.6,11.22,28.18,56.16,mock_data,SOCDEM_MOCK
IND,2023,225219807.0,-0.25,2.4,30.45,48.66,1.97,4.51,10.47,17.14,55.81,mock_data,SOCDEM_MOCK
AUS,2010,1173138499.0,1.17,1.53,50.45,26.7,24.95,7.91,8.5,25.8,55.84,mock_data,SOCDEM_MOCK
AUS,2011,120177234.0,1.34,1.98,22.21,47.89,34.16,10.51,8.67,29.69,58.29,mock_data,SOCDEM_MOCK
AUS,2012,1310188128.0,-0.22,1.49,73.97,51.76,11.49,2.74,6.37,12.22,87.24,mock_data,SOCDEM_MOCK
AUS,2013,947641152.0,0.24,4.11,26.15,43.87,0.72,8.7,17.29,4.56,55.46,mock_data,SOCDEM_MOCK
AUS,2014,942790780.0,2.48,3.75,63.8,27.37,13.84,16.84,9.92,17.12,74.02,mock_data,SOCDEM_MOCK
AUS,2015,750590450.0,1.31,2.98,50.07,37.12,15.63,10.14,15.21,23.76,88.58,mock_data,SOCDEM_MOCK
AUS,2016,521014452.0,0.33,4.72,42.46,26.52,22.34,20.36,2.24,22.3,98.86,mock_data,SOCDEM_MOCK
AUS,2017,605321211.0,1.17,4.08,62.47,56.12,39.82,12.47,7.25,16.91,87.9,mock_data,SOCDEM_MOCK
AUS,2018,60195242.0,1.21,1.34,32.77,41.45,1.6,24.91,4.87,17.46,89.49,mock_data,SOCDEM_MOCK
AUS,2019,1427728547.0,-0.31,2.95,22.97,42.35,6.8,7.42,12.05,28.07,89.72,mock_data,SOCDEM_MOCK
AUS,2020,674620263.0,1.71,1.84,63.57,43.04,36.45,24.85,0.76,26.36,67.91,mock_data,SOCDEM_MOCK
AUS,2021,1226052672.0,2.31,1.73,47.71,58.92,39.57,23.56,14.86,13.08,58.04,mock_data,SOCDEM_MOCK
AUS,2022,374648276.0,1.4,1.99,75.07,38.75,29.09,17.69,2.93,25.2,72.67,mock_data,SOCDEM_MOCK
AUS,2023,377637227.0,1.25,3.97,53.69,47.4,30.37,16.96,1.03,28.29,58.09,mock_data,SOCDEM_MOCK
BRA,2010,1380260512.0,0.7,3.44,64.81,33.52,13.01,6.64,11.1,3.04,84.38,mock_data,SOCDEM_MOCK
BRA,2011,123377511.0,1.84,4.2,23.4,64.56,29.79,1.73,13.81,21.51,87.89,mock_data,SOCDEM_MOCK
BRA,2012,1223706980.0,0.41,2.4,63.75,61.68,25.74,19.57,15.59,4.44,75.71,mock_data,SOCDEM_MOCK
BRA,2013,807230493.0,2.32,3.49,36.94,44.85,35.62,5.77,10.12,24.91,70.61,mock_data,SOCDEM_MOCK
BRA,2014,619189082.0,-0.47,2.09,59.58,26.66,11.24,12.4,7.57,3.69,98.95,mock_data,SOCDEM_MOCK
BRA,2015,1076744758.0,1.35,2.63,50.43,56.85,4.05,9.23,5.19,23.29,57.53,mock_data,SOCDEM_MOCK
BRA,2016,747319966.0,-0.32,3.84,30.5,45.57,11.46,14.79,13.93,1.99,98.4,mock_data,SOCDEM_MOCK
BRA,2017,63338414.0,1.11,1.64,35.03,53.66,30.8,9.27,11.35,29.9,57.92,mock_data,SOCDEM_MOCK
BRA,2018,1216244669.0,-0.14,4.75,28.65,54.65,10.78,7.73,16.36,13.33,87.41,mock_data,SOCDEM_MOCK
BRA,2019,1362838210.0,0.28,4.68,74.53,39.18,8.86,21.37,0.77,7.0,72.25,mock_data,SOCDEM_MOCK
BRA,2020,21966579.0,0.11,4.66,37.02,39.98,12.06,14.95,7.93,21.33,72.81,mock_data,SOCDEM_MOCK
BRA,2021,1277281035.0,1.25,3.12,27.69,57.09,31.54,13.87,9.92,7.9,68.51,mock_data,SOCDEM_MOCK
BRA,2022,182680737.0,-0.02,4.45,68.71,42.78,23.19,19.4,6.17,23.35,95.03,mock_data,SOCDEM_MOCK
BRA,2023,1231272447.0,-0.47,2.97,56.18,56.47,20.35,2.82,1.04,22.3,81.86,mock_data,SOCDEM_MOCK
CAN,2010,1474915772.0,0.84,2.28,45.35,30.9,32.53,20.19,16.28,24.01,54.12,mock_data,SOCDEM_MOCK
CAN,2011,164875079.0,0.25,2.05,52.58,47.4,12.37,18.24,4.76,24.53,63.54,mock_data,SOCDEM_MOCK
CAN,2012,1198451087.0,0.57,3.09,71.89,50.28,5.12,16.09,6.03,18.04,58.07,mock_data,SOCDEM_MOCK
CAN,2013,589870538.0,0.42,1.93,45.32,43.81,34.06,10.12,0.88,8.75,87.64,mock_data,SOCDEM_MOCK
CAN,2014,21243656.0,0.31,4.03,57.0,57.85,37.1,8.37,11.73,20.12,60.82,mock_data,SOCDEM_MOCK
CAN,2015,1243121184.0,1.65,1.49,44.64,45.66,37.47,24.59,3.75,2.83,73.98,mock_data,SOCDEM_MOCK
CAN,2016,402388439.0,-0.31,4.01,71.92,53.66,25.99,13.53,1.39,17.4,77.31,mock_data,SOCDEM_MOCK
CAN,2017,785448057.0,0.61,1.48,23.34,29.98,29.78,4.27,16.49,24.76,73.61,mock_data,SOCDEM_MOCK
CAN,2018,271530613.0,2.02,3.26,42.47,41.97,37.61,19.14,15.62,29.79,98.0,mock_data,SOCDEM_MOCK
CAN,2019,1337102643.0,0.53,1.23,31.89,47.26,10.79,4.77,1.97,29.15,75.28,mock_data,SOCDEM_MOCK
CAN,2020,104676567.0,-0.5,4.47,21.75,37.79,34.43,8.42,6.85,2.78,89.2,mock_data,SOCDEM_MOCK
CAN,2021,211888910.0,1.61,2.13,39.13,51.63,3.92,17.2,2.5,27.57,89.35,mock_data,SOCDEM_MOCK
CAN,2022,60266443.0,1.65,3.7,62.03,30.22,26.09,13.52,10.93,25.72,83.03,mock_data,SOCDEM_MOCK
CAN,2023,1366259388.0,2.14,2.32,48.72,44.81,15.41,23.41,17.76,19.41,61.2,mock_data,SOCDEM_MOCK
ZAF,2010,242705739.0,1.2,3.18,58.64,52.86,35.32,23.43,15.73,20.06,80.77,mock_data,SOCDEM_MOCK
ZAF,2011,699856949.0,0.73,3.01,74.18,49.59,28.46,14.12,9.19,10.46,51.28,mock_data,SOCDEM_MOCK
ZAF,2012,263758991.0,1.46,4.26,46.47,45.0,30.6,23.37,9.38,16.43,87.07,mock_data,SOCDEM_MOCK
ZAF,2013,1351995142.0,1.56,4.25,34.77,41.26,23.61,13.87,7.15,7.24,87.3,mock_data,SOCDEM_MOCK
ZAF,2014,335835406.0,1.01,2.35,57.1,38.33,27.33,18.55,4.84,10.03,51.89,mock_data,SOCDEM_MOCK
ZAF,2015,291178358.0,0.16,4.89,44.06,44.15,7.89,15.96,6.85,19.37,73.31,mock_data,SOCDEM_MOCK
ZAF,2016,12672897.0,1.57,4.04,39.83,59.11,29.18,3.67,7.34,15.31,52.74,mock_data,SOCDEM_MOCK
ZAF,2017,1012979013.0,1.11,4.53,24.86,25.12,10.07,13.56,19.73,24.7,75.59,mock_data,SOCDEM_MOCK
ZAF,2018,1403296839.0,1.69,3.49,52.9,51.33,16.0,1.42,6.01,22.89,92.87,mock_data,SOCDEM_MOCK
ZAF,2019,365787706.0,-0.3,2.26,79.0,51.63,30.5,13.0,7.06,12.35,71.16,mock_data,SOCDEM_MOCK
ZAF,2020,278712117.0,1.54,3.75,40.54,54.2,3.76,0.53,6.81,26.74,64.31,mock_data,SOCDEM_MOCK
ZAF,2021,1254552334.0,0.31,3.46,28.15,38.42,2.2,22.75,11.28,29.27,85.9,mock_data,SOCDEM_MOCK
ZAF,2022,922962192.0,-0.01,1.48,64.49,36.7,21.95,21.45,17.62,27.24,84.44,mock_data,SOCDEM_MOCK
ZAF,2023,59636336.0,0.6,3.4,42.64,43.16,17.07,5.11,0.26,14.8,92.72,mock_data,SOCDEM_MOCK
X11,2010,413952742.0,-0.11,5.0,25.91,53.83,39.61,23.98,12.29,16.11,87.35,mock_data,SOCDEM_MOCK
X11,2011,872747718.0,0.62,4.23,64.49,26.64,0.92,3.41,9.93,6.44,89.88,mock_data,SOCDEM_MOCK
X11,2012,1486505057.0,2.37,2.64,67.31,30.81,30.75,9.13,1.35,20.39,95.52,mock_data,SOCDEM_MOCK
X11,2013,877458617.0,-0.35,1.33,48.55,49.28,21.83,16.39,17.08,24.64,68.61,mock_data,SOCDEM_MOCK
X11,2014,1060033273.0,1.56,4.01,69.28,28.29,25.97,7.47,0.33,9.01,73.76,mock_data,SOCDEM_MOCK
X11,2015,1082409794.0,0.88,2.63,75.15,41.93,13.69,2.85,2.54,3.4,56.2,mock_data,SOCDEM_MOCK
X11,2016,1145734714.0,2.09,1.55,26.69,32.11,15.74,17.61,11.56,24.13,96.45,mock_data,SOCDEM_MOCK
X11,2017,474717899.0,0.86,2.94,46.93,42.11,2.17,10.99,4.49,25.33,91.09,mock_data,SOCDEM_MOCK
X11,2018,238845592.0,1.13,3.52,53.54,60.66,4.39,21.74,12.45,24.07,94.21,mock_data,SOCDEM_MOCK
X11,2019,1004797848.0,0.83,3.05,32.94,46.15,30.15,13.25,16.05,15.98,95.92,mock_data,SOCDEM_MOCK
X11,2020,448759857.0,2.47,3.28,41.2,51.5,10.97,7.72,18.0,15.17,82.06,mock_data,SOCDEM_MOCK
X11,2021,892070382.0,2.47,4.83,56.41,36.16,12.17,12.85,11.36,14.09,68.08,mock_data,SOCDEM_MOCK
X11,2022,1430159442.0,1.93,3.77,33.65,58.29,30.83,24.24,18.31,24.23,56.79,mock_data,SOCDEM_MOCK
X11,2023,804207727.0,0.11,4.04,27.67,52.27,21.96,2.76,8.62,28.6,77.08,mock_data,SOCDEM_MOCK
X12,2010,353749205.0,-0.47,2.33,33.43,25.71,2.46,12.46,19.65,17.87,88.65,mock_data,SOCDEM_MOCK
X12,2011,1331017950.0,0.91,4.47,20.19,46.07,33.25,8.36,0.62,19.94,78.12,mock_data,SOCDEM_MOCK
X12,2012,1068633446.0,0.7,4.7,41.72,63.4,28.31,9.2,17.33,12.16,61.21,mock_data,SOCDEM_MOCK
X12,2013,81243249.0,1.17,4.58,62.03,51.23,33.32,20.06,16.08,19.9,80.31,mock_data,SOCDEM_MOCK
X12,2014,938376018.0,0.84,4.38,75.59,38.96,11.77,11.19,17.35,12.38,55.56,mock_data,SOCDEM_MOCK
X12,2015,387310353.0,1.96,2.38,37.47,60.4,35.9,17.95,8.69,1.66,97.51,mock_data,SOCDEM_MOCK
X12,2016,104515125.0,0.69,4.32,71.28,61.41,18.63,14.09,19.14,23.38,62.02,mock_data,SOCDEM_MOCK
X12,2017,517597422.0,1.4,2.78,61.79,43.48,8.2,15.16,5.23,25.96,93.38,mock_data,SOCDEM_MOCK
X12,2018,1465522402.0,1.76,4.91,49.57,26.22,29.38,13.14,0.51,7.26,97.56,mock_data,SOCDEM_MOCK
X12,2019,580078878.0,-0.38,3.45,23.7,50.6,11.76,4.32,11.96,14.51,79.01,mock_data,SOCDEM_MOCK
X12,2020,1395105220.0,0.43,1.74,38.15,30.79,13.34,2.54,12.13,28.67,86.31,mock_data,SOCDEM_MOCK
X12,2021,1053903573.0,0.48,4.45,71.71,26.2,2.21,21.75,0.85,18.58,51.73,mock_data,SOCDEM_MOCK
X12,2022,1302437678.0,1.6,3.41,72.06,28.41,39.91,23.37,16.63,24.83,92.12,mock_data,SOCDEM_MOCK
X12,2023,1115089149.0,-0.45,4.68,55.21,61.32,37.34,22.11,14.68,21.64,87.29,mock_data,SOCDEM_MOCK
X13,2010,774474467.0,1.46,2.8,63.08,39.87,11.81,14.71,9.84,23.3,78.93,mock_data,SOCDEM_MOCK
X13,2011,272625921.0,0.26,4.91,36.55,28.3,0.71,7.27,13.77,22.99,69.81,mock_data,SOCDEM_MOCK
X13,2012,555533265.0,0.8,2.27,66.2,55.08,13.54,20.96,12.69,16.34,63.64,mock_data,SOCDEM_MOCK
X13,2013,124662258.0,-0.18,4.88,55.36,55.79,36.84,13.56,6.26,2.8,69.43,mock_data,SOCDEM_MOCK
X13,2014,929509969.0,-0.18,4.46,57.63,25.15,7.13,17.82,2.32,9.31,84.28,mock_data,SOCDEM_MOCK
X13,2015,814832970.0,-0.08,2.0,59.85,47.95,22.72,8.25,7.13,28.19,82.41,mock_data,SOCDEM_MOCK
X13,2016,1435942060.0,-0.43,1.36,48.96,30.53,21.67,3.02,19.66,18.53,57.96,mock_data,SOCDEM_MOCK
X13,2017,265953713.0,0.69,1.21,43.09,38.55,5.82,21.29,2.18,14.12,69.69,mock_data,SOCDEM_MOCK
X13,2018,1371739615.0,-0.18,3.49,43.49,48.13,2.53,9.56,9.89,18.8,56.3,mock_data,SOCDEM_MOCK
X13,2019,452085623.0,0.27,4.03,76.86,53.32,24.4,13.18,13.46,7.84,82.13,mock_data,SOCDEM_MOCK
X13,2020,5114967.0,0.65,4.4,65.65,61.92,34.48,22.66,8.7,3.75,70.75,mock_data,SOCDEM_MOCK
X13,2021,678172489.0,1.39,1.21,57.34,63.88,3.58,18.88,6.58,26.7,78.81,mock_data,SOCDEM_MOCK
X13,2022,727185559.0,0.48,2.67,64.86,38.74,39.62,4.57,15.07,7.0,98.36,mock_data,SOCDEM_MOCK
X13,2023,665588812.0,1.04,4.86,62.23,46.86,28.1,14.12,19.96,6.73,79.36,mock_data,SOCDEM_MOCK
X14,2010,1376431754.0,-0.07,4.07,59.63,46.74,10.83,20.55,8.69,7.84,94.15,mock_data,SOCDEM_MOCK
X14,2011,1049828324.0,1.37,4.95,71.16,37.56,27.5,13.62,5.58,25.86,89.55,mock_data,SOCDEM_MOCK
X14,2012,398582422.0,1.57,2.46,56.56,36.21,19.56,13.93,7.44,16.57,88.76,mock_data,SOCDEM_MOCK
X14,2013,671390973.0,1.53,2.78,48.48,50.04,15.36,2.76,11.46,26.45,97.55,mock_data,SOCDEM_MOCK
X14,2014,1022244407.0,0.27,2.78,39.93,33.38,3.24,20.73,16.8,17.23,90.85,mock_data,SOCDEM_MOCK
X14,2015,562171401.0,0.56,3.37,47.89,56.72,39.01,19.91,16.98,27.67,84.15,mock_data,SOCDEM_MOCK
X14,2016,451048344.0,-0.47,2.1,59.29,39.06,14.41,11.3,4.4,20.04,77.88,mock_data,SOCDEM_MOCK
X14,2017,1118038589.0,2.37,1.42,21.36,64.02,39.7,0.59,0.19,13.95,65.2,mock_data,SOCDEM_MOCK
X14,2018,813966637.0,0.97,2.9,62.52,47.16,7.73,17.63,12.12,18.11,54.33,mock_data,SOCDEM_MOCK
X14,2019,496406684.0,1.55,3.19,55.55,46.25,37.06,3.21,4.9,5.2,63.03,mock_data,SOCDEM_MOCK
X14,2020,499237109.0,0.1,4.4,32.41,59.35,34.97,0.62,17.24,6.02,63.9,mock_data,SOCDEM_MOCK
X14,2021,1299453937.0,-0.48,3.69,63.07,57.15,21.82,17.24,14.11,9.92,95.34,mock_data,SOCDEM_MOCK
X14,2022,585000035.0,0.17,4.56,25.22,53.22,21.6,22.32,15.24,11.38,62.31,mock_data,SOCDEM_MOCK
