country_code,year,co2_emissions,renewable_energy_usage,forest_area_pct,energy_use_kg_oil_pc,source,co2_emissions_filter,renewable_energy_usage_filter,energy_use_filter,total_co2_emissions,renewable_energy_percentage,deforestation_rate,average_deforestation_rate,water_usage,pm25,electric_power_kwh_pc,freshwater_withdrawal_pct,indicator_code
GBR,2017,8.59,18.78,63.08,4989.99,mock_data,2,1,2,8590000.0,18.78,-0.47,-0.63,883.43,45.05,13456.14,80.37,ENV_MOCK
GBR,2018,9.66,79.36,25.41,9878.61,mock_data,2,3,3,9660000.0,79.36,-1.87,0.17,780.46,53.3,11227.08,74.99,ENV_MOCK
GBR,2019,12.58,33.3,13.09,633.87,mock_data,3,2,1,12580000.0,33.3,-0.92,-0.62,928.53,44.65,13191.36,45.27,ENV_MOCK
GBR,2020,5.87,28.11,21.25,4429.2,mock_data,2,2,2,5870000.0,28.11,-0.57,-0.32,530.71,43.86,13006.42,55.55,ENV_MOCK
GBR,2021,16.71,37.42,17.57,1565.94,mock_data,3,2,1,16710000.0,37.42,0.7,-0.11,294.65,21.01,11106.73,52.47,ENV_MOCK
GBR,2022,19.83,25.13,35.31,6896.84,mock_data,3,2,3,19830000.0,25.13,0.14,0.43,376.15,57.03,5747.1,70.44,ENV_MOCK
GBR,2023,2.69,41.36,52.1,5234.17,mock_data,1,2,3,2690000.0,41.36,-1.48,-0.95,153.27,13.68,12800.69,97.0,ENV_MOCK
DEU,2010,2.65,61.66,52.0,5438.56,mock_data,1,3,3,2650000.0,61.66,-0.62,0.11,674.84,12.95,5700.21,36.67,ENV_MOCK
DEU,2011,4.83,72.14,28.5,1870.06,mock_data,1,3,1,4830000.0,72.14,0.57,0.1,337.89,47.86,4691.41,94.78,ENV_MOCK
DEU,2012,17.56,68.54,22.67,8142.88,mock_data,3,3,3,17560000.0,68.54,-0.37,-1.24,180.03,14.57,8255.98,32.68,ENV_MOCK
DEU,2013,18.92,29.12,66.57,9693.4,mock_data,3,2,3,18920000.0,29.12,-0.21,-1.17,376.07,38.69,11942.28,93.36,ENV_MOCK
DEU,2014,4.97,23.12,49.59,1673.37,mock_data,1,2,1,4970000.0,23.12,0.46,0.04,411.88,40.75,6426.47,88.49,ENV_MOCK
DEU,2015,4.51,75.0,56.08,6997.31,mock_data,1,3,3,4510000.0,75.0,-0.37,0.06,725.3,18.13,11088.15,34.76,ENV_MOCK
DEU,2016,6.47,18.34,51.93,7120.0,mock_data,2,1,3,6470000.0,18.34,-0.01,-0.13,146.99,42.3,12732.97,25.08,ENV_MOCK
DEU,2017,4.88,54.9,44.17,5565.23,mock_data,1,3,3,4880000.0,54.9,-1.86,-0.88,175.0,51.35,4922.51,51.87,ENV_MOCK
DEU,2018,8.77,35.16,56.64,8978.66,mock_data,2,2,3,8770000.0,35.16,0.36,-0.14,340.4,10.63,2341.4,74.94,ENV_MOCK
DEU,2019,15.79,58.89,37.96,8714.13,mock_data,3,3,3,15790000.0,58.89,0.21,0.36,237.11,53.68,904.33,31.09,ENV_MOCK
DEU,2020,19.55,34.77,49.91,5915.91,mock_data,3,2,3,19550000.0,34.77,-1.62,0.48,713.13,58.56,13427.65,3.74,ENV_MOCK
DEU,2021,5.64,9.43,36.32,1407.77,mock_data,2,1,1,5640000.0,9.43,0.8,-0.56,300.22,26.31,759.71,9.18,ENV_MOCK
DEU,2022,18.31,46.13,21.05,3640.31,mock_data,3,2,2,18310000.0,46.13,-1.76,-0.4,941.84,20.36,3593.52,56.46,ENV_MOCK
DEU,2023,12.07,33.35,55.3,4377.81,mock_data,3,2,2,12070000.0,33.35,0.41,-0.65,669.37,35.71,14247.19,89.49,ENV_MOCK
JPN,2010,10.45,27.61,42.82,7186.17,mock_data,3,2,3,10450000.0,27.61,0.88,-0.99,557.42,7.61,5234.28,37.83,ENV_MOCK
JPN,2011,19.59,74.79,48.8,7708.8,mock_data,3,3,3,19590000.0,74.79,0.89,-0.95,469.18,22.46,5880.7,31.26,ENV_MOCK
JPN,2012,2.38,77.37,59.51,4292.63,mock_data,1,3,2,2380000.0,77.37,-0.6,-0.12,530.49,8.47,3880.62,31.58,ENV_MOCK
JPN,2013,14.97,28.06,36.91,6186.7,mock_data,3,2,3,14970000.0,28.06,-1.43,0.48,241.39,52.74,3103.25,69.81,ENV_MOCK
JPN,2014,11.25,22.84,21.86,8793.71,mock_data,3,2,3,11250000.0,22.84,-0.4,-0.04,337.01,16.3,12898.89,21.7,ENV_MOCK
JPN,2015,12.75,5.93,28.47,3413.1,mock_data,3,1,2,12750000.0,5.93,-1.83,-1.38,256.75,51.91,6643.12,16.58,ENV_MOCK
JPN,2016,12.26,71.27,68.69,6739.09,mock_data,3,3,3,12260000.0,71.27,-1.38,0.07,531.38,36.96,13276.11,55.69,ENV_MOCK
JPN,2017,6.88,66.75,11.16,4262.41,mock_data,2,3,2,6880000.0,66.75,-0.06,-0.29,370.09,27.94,11712.49,3.93,ENV_MOCK
JPN,2018,10.87,76.94,56.37,6178.22,mock_data,3,3,3,10870000.0,76.94,0.48,0.48,627.2,57.64,10692.78,59.31,ENV_MOCK
JPN,2019,13.99,50.06,43.65,5207.47,mock_data,3,3,3,13990000.0,50.06,0.67,0.12,144.73,19.88,7688.74,91.32,ENV_MOCK
JPN,2020,2.54,53.68,46.11,7468.63,mock_data,1,3,3,2540000.0,53.68,-0.07,0.16,259.94,40.24,9428.48,30.1,ENV_MOCK
JPN,2021,7.86,53.47,42.83,7608.73,mock_data,2,3,3,7860000.0,53.47,0.45,-0.39,862.2,55.28,12342.34,20.36,ENV_MOCK
JPN,2022,8.86,63.12,65.02,8555.22,mock_data,2,3,3,8860000.0,63.12,0.95,-1.38,796.21,44.66,9370.83,46.58,ENV_MOCK
JPN,2023,16.73,63.79,56.09,2325.14,mock_data,3,3,2,16730000.0,63.79,-1.73,-1.39,297.91,9.31,10557.41,7.42,ENV_MOCK
CHN,2010,1.4,6.45,41.67,3232.65,mock_data,1,1,2,1400000.0,6.45,0.89,-0.4,174.1,41.95,11844.41,46.37,ENV_MOCK
CHN,2011,11.37,72.61,67.01,5429.92,mock_data,3,3,3,11370000.0,72.61,-0.95,-1.11,600.49,57.26,13304.12,95.62,ENV_MOCK
CHN,2012,3.76,44.47,55.0,5586.43,mock_data,1,2,3,3760000.0,44.47,-0.83,-0.12,512.33,26.33,7715.79,41.46,ENV_MOCK
CHN,2013,3.3,59.64,62.55,2588.48,mock_data,1,3,2,3300000.0,59.64,-1.77,-0.11,292.32,56.27,13345.66,72.87,ENV_MOCK
CHN,2014,8.52,34.55,19.65,6443.04,mock_data,2,2,3,8520000.0,34.55,-1.33,-0.27,610.95,41.49,809.96,96.25,ENV_MOCK
CHN,2015,10.83,72.6,34.99,2104.66,mock_data,3,3,2,10830000.0,72.6,-0.14,0.16,171.56,54.07,4667.94,20.79,ENV_MOCK
CHN,2016,7.35,44.72,40.7,1918.91,mock_data,2,2,1,7350000.0,44.72,-0.62,-0.94,575.05,42.53,2843.91,17.31,ENV_MOCK
CHN,2017,13.63,37.89,64.19,8674.54,mock_data,3,2,3,13630000.0,37.89,-1.9,0.27,329.49,48.57,14956.65,8.27,ENV_MOCK
CHN,2018,5.8,63.27,31.03,6393.11,mock_data,2,3,3,5800000.0,63.27,-1.08,0.33,853.74,38.64,2896.93,19.87,ENV_MOCK
CHN,2019,9.52,61.55,48.93,8561.9,mock_data,2,3,3,9520000.0,61.55,0.33,-1.13,340.45,47.37,10215.34,36.57,ENV_MOCK
CHN,2020,5.45,68.79,11.74,4525.79,mock_data,2,3,2,5450000.0,68.79,-1.49,0.39,811.5,46.76,12136.51,51.62,ENV_MOCK
CHN,2021,18.46,64.84,32.47,9685.91,mock_data,3,3,3,18460000.0,64.84,-0.87,-1.35,367.42,48.42,13230.16,50.5,ENV_MOCK
CHN,2022,6.72,19.07,24.41,9339.89,mock_data,2,1,3,6720000.0,19.07,-0.38,-0.17,746.62,15.53,14283.13,50.11,ENV_MOCK
CHN,2023,6.94,75.55,29.43,3790.78,mock_data,2,3,2,6940000.0,75.55,0.52,-1.46,822.76,48.56,12703.27,76.48,ENV_MOCK
FRA,2010,12.14,44.49,45.92,7496.3,mock_data,3,2,3,12140000.0,44.49,-0.83,-0.49,637.72,42.31,10903.62,25.53,ENV_MOCK
FRA,2011,13.27,52.07,50.36,3116.09,mock_data,3,3,2,13270000.0,52.07,-1.6,-0.29,281.15,32.77,12194.16,17.6,ENV_MOCK
FRA,2012,5.82,63.6,65.2,1014.47,mock_data,2,3,1,5820000.0,63.6,0.34,-1.16,861.41,27.3,11658.14,45.9,ENV_MOCK
FRA,2013,5.61,51.11,27.39,9909.33,mock_data,2,3,3,5610000.0,51.11,-0.24,-0.2,247.28,43.57,9767.93,63.71,ENV_MOCK
FRA,2014,8.05,41.12,51.82,7068.99,mock_data,2,2,3,8050000.000000001,41.12,-0.06,-0.74,698.49,12.49,9942.25,32.89,ENV_MOCK
FRA,2015,13.48,55.1,60.42,5565.11,mock_data,3,3,3,13480000.0,55.1,-0.62,0.32,290.5,13.2,10471.39,40.58,ENV_MOCK
FRA,2016,2.02,50.39,18.15,2533.11,mock_data,1,3,2,2020000.0,50.39,-0.33,-1.45,432.81,20.04,5893.25,37.44,ENV_MOCK
FRA,2017,14.5,42.24,40.1,1196.81,mock_data,3,2,1,14500000.0,42.24,-1.12,0.38,270.04,14.07,12516.3,55.32,ENV_MOCK
FRA,2018,18.45,24.49,20.67,1658.52,mock_data,3,2,1,18450000.0,24.49,-1.51,0.17,488.98,58.32,12580.83,93.77,ENV_MOCK
FRA,2019,14.29,16.89,14.16,5591.28,mock_data,3,1,3,14290000.0,16.89,-1.15,0.14,414.14,10.56,13779.21,13.91,ENV_MOCK
FRA,2020,4.72,49.4,53.3,1167.73,mock_data,1,2,1,4720000.0,49.4,-1.12,-0.12,956.73,8.32,13683.23,82.06,ENV_MOCK
FRA,2021,13.04,20.57,55.55,2940.8,mock_data,3,2,2,13040000.0,20.57,-0.96,-0.22,889.54,59.88,13923.49,48.4,ENV_MOCK
FRA,2022,9.93,9.38,24.67,5081.72,mock_data,2,1,3,9930000.0,9.38,-1.83,-1.27,695.42,13.53,4183.61,77.4,ENV_MOCK
FRA,2023,9.74,38.16,58.05,5307.49,mock_data,2,2,3,9740000.0,38.16,-0.7,-1.39,679.89,38.22,7822.05,85.67,ENV_MOCK
IND,2010,8.91,54.24,67.78,9063.05,mock_data,2,3,3,8910000.0,54.24,0.51,-0.72,389.45,41.21,7925.52,26.91,ENV_MOCK
IND,2011,14.93,32.8,10.62,5208.69,mock_data,3,2,3,14930000.0,32.8,0.96,-1.02,406.13,33.39,1717.07,54.6,ENV_MOCK
IND,2012,6.35,78.26,20.21,6076.08,mock_data,2,3,3,6350000.0,78.26,-0.68,0.05,879.65,33.06,1755.12,15.63,ENV_MOCK
IND,2013,5.92,73.57,32.33,6086.53,mock_data,2,3,3,5920000.0,73.57,-0.76,-0.96,730.35,32.25,14184.85,41.64,ENV_MOCK
IND,2014,14.21,13.82,30.05,2989.12,mock_data,3,1,2,14210000.0,13.82,-0.34,0.37,244.23,37.75,11416.22,61.56,ENV_MOCK
IND,2015,6.58,74.79,24.63,517.66,mock_data,2,3,1,6580000.0,74.79,-0.74,-0.96,246.87,14.21,7660.03,20.21,ENV_MOCK
IND,2016,6.27,23.02,25.03,8840.62,mock_data,2,2,3,6270000.0,23.02,-0.15,0.17,713.85,25.61,10620.14,69.38,ENV_MOCK
IND,2017,2.6,13.31,29.6,6266.29,mock_data,1,1,3,2600000.0,13.31,0.54,0.1,255.66,22.72,14758.42,12.34,ENV_MOCK
IND,2018,14.96,56.7,31.65,881.82,mock_data,3,3,1,14960000.0,56.7,-0.11,-1.04,228.88,14.29,1822.99,63.0,ENV_MOCK
IND,2019,18.03,78.23,24.37,1395.96,mock_data,3,3,1,18030000.0,78.23,-0.44,-1.22,572.48,50.88,3908.6,35.22,ENV_MOCK
IND,2020,12.13,39.04,50.35,7713.09,mock_data,3,2,3,12130000.0,39.04,0.79,0.21,222.93,23.84,3301.73,29.96,ENV_MOCK
IND,2021,7.18,76.28,69.91,6641.1,mock_data,2,3,3,7180000.0,76.28,0.65,-0.51,705.12,31.39,4596.51,86.56,ENV_MOCK
IND,2022,12.99,57.14,57.91,5780.79,mock_data,3,3,3,12990000.0,57.14,0.74,0.41,562.56,56.73,7329.72,42.67,ENV_MOCK
IND,2023,8.4,32.5,18.78,4744.38,mock_data,2,2,2,8400000.0,32.5,0.71,-0.79,854.08,40.26,4491.82,89.69,ENV_MOCK
AUS,2010,10.25,7.43,10.3,7120.41,mock_data,3,1,3,10250000.0,7.43,-0.96,-0.81,246.57,46.99,11982.73,71.44,ENV_MOCK
AUS,2011,5.28,22.74,65.06,4799.86,mock_data,2,2,2,5280000.0,22.74,-1.7,-0.69,990.27,50.08,4682.42,80.71,ENV_MOCK
AUS,2012,9.6,65.72,41.14,4961.21,mock_data,2,3,2,9600000.0,65.72,-1.21,-1.13,989.28,33.2,7318.98,66.73,ENV_MOCK
AUS,2013,16.34,72.82,42.74,6151.53,mock_data,3,3,3,16340000.0,72.82,0.81,-0.13,965.59,9.16,5861.18,27.97,ENV_MOCK
AUS,2014,16.07,26.68,33.88,3260.44,mock_data,3,2,2,16070000.0,26.68,0.22,-0.69,730.7,8.39,12915.62,98.03,ENV_MOCK
AUS,2015,9.65,24.32,18.56,9015.31,mock_data,2,2,3,9650000.0,24.32,0.15,-0.73,184.06,21.83,9302.77,5.0,ENV_MOCK
AUS,2016,13.76,77.05,23.51,9410.46,mock_data,3,3,3,13760000.0,77.05,0.81,-1.28,205.04,42.81,11365.91,93.56,ENV_MOCK
AUS,2017,1.89,36.03,48.36,4816.49,mock_data,1,2,2,1890000.0,36.03,0.01,-0.2,217.03,21.82,12732.71,36.56,ENV_MOCK
AUS,2018,2.87,56.81,41.03,9520.1,mock_data,1,3,3,2870000.0,56.81,-0.4,-0.28,423.01,50.58,2564.76,98.85,ENV_MOCK
AUS,2019,16.68,63.46,37.22,5758.98,mock_data,3,3,3,16680000.0,63.46,0.17,0.36,866.07,22.75,5552.19,80.78,ENV_MOCK
AUS,2020,1.01,12.53,34.09,2308.09,mock_data,1,1,2,1010000.0,12.53,0.82,-1.37,412.71,10.77,4626.39,46.48,ENV_MOCK
AUS,2021,6.15,37.1,64.45,705.71,mock_data,2,2,1,6150000.0,37.1,-1.15,-0.87,661.68,21.46,11487.08,91.29,ENV_MOCK
AUS,2022,2.86,74.3,30.2,3318.48,mock_data,1,3,2,2860000.0,74.3,0.88,-1.23,307.95,34.73,10162.02,79.65,ENV_MOCK
AUS,2023,11.72,53.42,57.55,1669.33,mock_data,3,3,1,11720000.0,53.42,0.03,-1.24,946.7,15.06,13708.28,44.39,ENV_MOCK
BRA,2010,17.89,43.22,35.64,8482.95,mock_data,3,2,3,17890000.0,43.22,-1.2,-0.17,646.6,37.32,2899.65,14.67,ENV_MOCK
BRA,2011,5.03,27.06,54.45,1605.32,mock_data,2,2,1,5030000.0,27.06,0.31,-1.05,117.22,11.2,2217.73,92.95,ENV_MOCK
BRA,2012,13.84,73.91,38.41,1305.13,mock_data,3,3,1,13840000.0,73.91,-0.9,-0.24,797.68,38.56,5120.32,49.62,ENV_MOCK
BRA,2013,11.3,48.18,61.17,5552.28,mock_data,3,2,3,11300000.0,48.18,0.99,-0.47,144.76,25.62,10453.04,51.29,ENV_MOCK
BRA,2014,10.25,38.09,58.99,2985.35,mock_data,3,2,2,10250000.0,38.09,-0.74,-0.96,597.44,6.82,14343.61,31.57,ENV_MOCK
BRA,2015,16.12,31.05,67.93,6341.58,mock_data,3,2,3,16120000.000000002,31.05,-0.94,0.33,577.88,25.36,2250.08,32.43,ENV_MOCK
BRA,2016,12.61,44.54,46.01,1394.66,mock_data,3,2,1,12610000.0,44.54,-0.77,-0.34,416.97,57.61,14853.03,85.4,ENV_MOCK
BRA,2017,10.38,31.55,37.76,3247.55,mock_data,3,2,2,10380000.0,31.55,0.74,-0.47,776.55,36.6,12462.19,69.91,ENV_MOCK
BRA,2018,16.1,30.58,20.94,2532.4,mock_data,3,2,2,16100000.000000002,30.58,0.05,0.13,243.89,39.33,2876.21,12.12,ENV_MOCK
BRA,2019,5.97,77.27,41.83,578.7,mock_data,2,3,1,5970000.0,77.27,0.68,-0.1,939.51,19.73,1778.71,16.11,ENV_MOCK
BRA,2020,9.28,15.75,65.71,8485.91,mock_data,2,1,3,9280000.0,15.75,-1.31,-0.43,709.39,19.24,565.52,28.33,ENV_MOCK
BRA,2021,4.55,35.27,48.5,5834.0,mock_data,1,2,3,4550000.0,35.27,-1.09,0.17,640.15,8.04,13333.86,44.19,ENV_MOCK
BRA,2022,14.43,19.47,13.04,7688.03,mock_data,3,1,3,14430000.0,19.47,-1.63,0.21,286.87,46.55,6165.34,28.38,ENV_MOCK
BRA,2023,8.0,34.28,65.01,9470.08,mock_data,2,2,3,8000000.0,34.28,-1.17,-0.82,907.17,33.35,5459.33,34.65,ENV_MOCK
CAN,2010,15.54,52.69,36.77,8695.08,mock_data,3,3,3,15540000.0,52.69,-0.24,-1.37,591.54,40.43,8413.08,33.42,ENV_MOCK
CAN,2011,5.98,31.49,48.03,7909.29,mock_data,2,2,3,5980000.0,31.49,0.06,0.43,295.19,24.57,12663.91,65.36,ENV_MOCK
CAN,2012,1.49,53.67,57.67,6498.64,mock_data,1,3,3,1490000.0,53.67,0.33,-0.85,338.57,28.61,13549.62,35.17,ENV_MOCK
CAN,2013,2.68,73.41,47.97,6918.23,mock_data,1,3,3,2680000.0,73.41,-1.75,-1.11,365.34,37.66,4045.98,25.01,ENV_MOCK
CAN,2014,8.46,18.98,38.28,8627.41,mock_data,2,1,3,8460000.0,18.98,0.42,-0.49,941.86,17.65,2037.43,71.66,ENV_MOCK
CAN,2015,11.55,11.13,34.53,9671.06,mock_data,3,1,3,11550000.0,11.13,-0.5,-1.5,553.43,36.33,11606.28,10.95,ENV_MOCK
CAN,2016,19.48,62.75,30.79,9723.56,mock_data,3,3,3,19480000.0,62.75,-0.06,-1.32,258.22,45.51,10988.79,27.9,ENV_MOCK
CAN,2017,4.62,68.35,17.81,7124.81,mock_data,1,3,3,4620000.0,68.35,0.53,-0.62,516.42,7.66,11232.17,31.62,ENV_MOCK
CAN,2018,18.63,15.01,38.61,9079.52,mock_data,3,1,3,18630000.0,15.01,0.18,-1.28,240.04,24.39,5479.22,98.91,ENV_MOCK
CAN,2019,11.46,60.37,24.93,4589.1,mock_data,3,3,2,11460000.0,60.37,0.16,0.41,883.86,25.34,10476.34,90.81,ENV_MOCK
CAN,2020,14.94,61.13,14.0,6445.79,mock_data,3,3,3,14940000.0,61.13,0.89,-0.45,329.94,24.19,4680.41,39.17,ENV_MOCK
CAN,2021,10.82,38.36,54.67,2038.46,mock_data,3,2,2,10820000.0,38.36,0.51,-0.43,258.57,13.05,1441.19,50.04,ENV_MOCK
CAN,2022,13.3,41.1,39.06,7115.23,mock_data,3,2,3,13300000.0,41.1,-1.43,-1.15,267.92,53.83,8261.97,1.6,ENV_MOCK
CAN,2023,16.69,48.88,55.0,7643.4,mock_data,3,2,3,16690000.000000002,48.88,-1.56,-0.42,569.19,11.47,6187.49,24.26,ENV_MOCK
ZAF,2010,14.26,44.84,49.28,7128.03,mock_data,3,2,3,14260000.0,44.84,-0.0,-1.45,235.12,43.44,7896.05,27.85,ENV_MOCK
ZAF,2011,12.68,37.39,19.55,5625.43,mock_data,3,2,3,12680000.0,37.39,0.08,-0.15,856.23,40.85,13875.08,36.32,ENV_MOCK
ZAF,2012,3.14,59.37,26.23,1455.1,mock_data,1,3,1,3140000.0,59.37,0.2,0.35,229.58,27.92,11717.06,49.78,ENV_MOCK
ZAF,2013,19.14,47.07,68.81,6319.42,mock_data,3,2,3,19140000.0,47.07,-1.23,-0.31,272.95,10.7,9148.3,93.17,ENV_MOCK
ZAF,2014,5.48,77.31,47.89,803.92,mock_data,2,3,1,5480000.0,77.31,0.73,-1.36,169.02,39.99,4233.89,62.84,ENV_MOCK
ZAF,2015,10.38,17.26,10.81,2891.35,mock_data,3,1,2,10380000.0,17.26,-0.39,-0.32,468.99,11.99,8060.03,5.7,ENV_MOCK
ZAF,2016,10.77,56.74,44.57,8705.72,mock_data,3,3,3,10770000.0,56.74,0.92,-0.64,889.07,16.61,11629.79,40.36,ENV_MOCK
ZAF,2017,15.39,51.22,24.62,9760.22,mock_data,3,3,3,15390000.0,51.22,0.47,-1.29,704.3,41.97,6781.29,98.74,ENV_MOCK
ZAF,2018,4.56,16.24,45.81,708.37,mock_data,1,1,1,4560000.0,16.24,-0.74,-1.42,516.69,11.65,2925.78,22.91,ENV_MOCK
ZAF,2019,11.47,11.19,28.65,9846.08,mock_data,3,1,3,11470000.0,11.19,-1.68,-1.38,155.51,21.72,725.61,18.25,ENV_MOCK
ZAF,2020,7.36,63.71,57.28,9329.26,mock_data,2,3,3,7360000.0,63.71,-0.49,-0.73,427.23,28.93,14801.12,25.95,ENV_MOCK
ZAF,2021,7.55,67.9,60.06,9410.62,mock_data,2,3,3,7550000.0,67.9,-0.99,-1.0,326.04,9.68,11923.6,43.83,ENV_MOCK
ZAF,2022,13.47,6.71,41.5,1079.79,mock_data,3,1,1,13470000.0,6.71,-0.42,0.41,959.08,48.07,6316.16,8.79,ENV_MOCK
ZAF,2023,19.31,40.03,53.07,9662.18,mock_data,3,2,3,19310000.0,40.03,-1.21,-0.74,336.38,52.61,1057.98,76.09,ENV_MOCK
X11,2010,10.12,40.52,29.72,2556.33,mock_data,3,2,2,10120000.0,40.52,-0.94,-1.3,772.35,27.94,6893.58,93.9,ENV_MOCK
X11,2011,17.09,66.5,54.11,9967.03,mock_data,3,3,3,17090000.0,66.5,0.29,-0.87,383.63,42.71,9688.76,95.88,ENV_MOCK
X11,2012,19.17,74.38,53.95,4863.53,mock_data,3,3,2,19170000.0,74.38,-0.87,0.35,711.02,59.8,5322.23,91.25,ENV_MOCK
X11,2013,8.3,32.66,62.61,5715.44,mock_data,2,2,3,8300000.000000001,32.66,-1.65,-1.42,212.45,41.04,2464.4,49.45,ENV_MOCK
X11,2014,8.09,13.58,47.69,3891.09,mock_data,2,1,2,8090000.0,13.58,-0.26,-0.3,669.15,42.92,11557.28,52.08,ENV_MOCK
X11,2015,3.4,38.77,50.48,7114.48,mock_data,1,2,3,3400000.0,38.77,-1.12,-0.26,579.73,54.7,3280.75,30.96,ENV_MOCK
X11,2016,12.34,52.55,46.46,5986.81,mock_data,3,3,3,12340000.0,52.55,-0.54,-1.3,926.59,7.01,4746.99,38.25,ENV_MOCK
X11,2017,3.03,51.72,43.53,7395.43,mock_data,1,3,3,3030000.0,51.72,-0.53,-1.26,437.76,30.72,4092.95,91.08,ENV_MOCK
X11,2018,19.12,27.72,37.23,5970.1,mock_data,3,2,3,19120000.0,27.72,-1.95,-0.29,658.91,22.18,1441.69,45.09,ENV_MOCK
X11,2019,17.93,29.62,35.23,2482.25,mock_data,3,2,2,17930000.0,29.62,0.82,-0.81,397.63,54.56,9631.49,4.9,ENV_MOCK
X11,2020,1.15,56.94,21.37,7693.63,mock_data,1,3,3,1150000.0,56.94,-0.3,0.29,370.23,6.62,7861.36,6.52,ENV_MOCK
X11,2021,8.9,46.49,49.56,501.07,mock_data,2,2,1,8900000.0,46.49,-0.81,-1.11,683.26,12.51,6253.1,81.48,ENV_MOCK
X11,2022,4.09,31.1,57.07,4879.0,mock_data,1,2,2,4090000.0,31.1,-1.41,-0.3,288.82,45.16,6139.73,62.81,ENV_MOCK
X11,2023,9.35,51.12,20.58,6845.51,mock_data,2,3,3,9350000.0,51.12,-1.23,-1.45,912.26,57.98,11201.24,59.01,ENV_MOCK
X12,2010,11.55,47.02,48.32,5243.25,mock_data,3,2,3,11550000.0,47.02,-1.9,-0.57,176.64,54.94,5454.68,20.3,ENV_MOCK
X12,2011,19.52,36.36,19.38,2456.86,mock_data,3,2,2,19520000.0,36.36,0.9,-0.02,970.21,59.5,12989.05,24.36,ENV_MOCK
