country_code,year,gdp_growth,unemployment_rate,inflation_rate,trade_balance,foreign_direct_investment,gdp_per_capita,source,gdp_growth_filter,unemployment_rate_filter,inflation_rate_filter,average_gdp_growth,total_trade_balance,gdp_growth_rate_percentage,gdp_per_capita_growth,indicator_code
FRA,2016,-0.01,5.39,7.22,-5.63,106570000000.0,70778.1,mock_data,1,2,3,-0.008,-16.89,-0.01,-0.71,ECON_MOCK
FRA,2017,1.17,8.36,10.79,9.64,100640000000.0,79632.44,mock_data,2,2,3,0.9359999999999999,28.92,1.17,3.59,ECON_MOCK
FRA,2018,5.08,10.41,4.29,4.55,103730000000.0,41242.78,mock_data,3,3,2,4.064,13.649999999999999,5.08,2.15,ECON_MOCK
FRA,2019,3.5,9.59,6.89,10.67,41460000000.0,33356.33,mock_data,3,2,3,2.8000000000000003,32.01,3.5,1.53,ECON_MOCK
FRA,2020,5.42,9.77,11.8,12.06,53370000000.0,21348.22,mock_data,3,2,3,4.336,36.18,5.42,-2.6,ECON_MOCK
FRA,2021,-1.87,8.15,11.4,5.79,51250000000.0,36136.94,mock_data,1,2,3,-1.4960000000000002,17.37,-1.87,6.69,ECON_MOCK
FRA,2022,3.66,10.37,2.99,6.39,94060000000.0,73884.71,mock_data,3,3,1,2.9280000000000004,19.169999999999998,3.66,-0.45,ECON_MOCK
FRA,2023,2.29,4.88,9.08,7.2,128449999999.99998,59522.35,mock_data,2,1,3,1.832,21.6,2.29,-1.58,ECON_MOCK
IND,2010,3.8,11.59,6.1,-8.61,66400000000.00001,78062.06,mock_data,3,3,3,3.04,-25.83,3.8,-1.36,ECON_MOCK
IND,2011,1.24,10.21,4.63,-4.7,6070000000.0,56009.11,mock_data,2,3,2,0.992,-14.100000000000001,1.24,4.07,ECON_MOCK
IND,2012,1.68,11.73,8.14,3.78,23380000000.0,75014.65,mock_data,2,3,3,1.344,11.34,1.68,1.32,ECON_MOCK
IND,2013,3.54,9.68,2.7,0.51,101880000000.0,71483.1,mock_data,3,2,1,2.8320000000000003,1.53,3.54,3.01,ECON_MOCK
IND,2014,2.8,9.42,10.87,9.41,44060000000.0,68374.67,mock_data,2,2,3,2.2399999999999998,28.23,2.8,0.24,ECON_MOCK
IND,2015,-1.26,13.63,0.78,5.68,96900000000.0,23822.01,mock_data,1,3,1,-1.008,17.04,-1.26,1.71,ECON_MOCK
IND,2016,-1.46,2.0,4.48,8.38,11130000000.0,74312.89,mock_data,1,1,2,-1.168,25.14,-1.46,-0.96,ECON_MOCK
IND,2017,-0.18,12.69,1.75,10.15,86210000000.0,2776.25,mock_data,1,3,1,-0.144,30.450000000000003,-0.18,-2.53,ECON_MOCK
IND,2018,1.25,6.8,11.92,0.38,54700000000.0,14935.57,mock_data,2,2,3,1.0,1.1400000000000001,1.25,5.62,ECON_MOCK
IND,2019,6.44,2.17,7.95,-9.85,29290000000.0,54322.9,mock_data,3,1,3,5.152000000000001,-29.549999999999997,6.44,6.02,ECON_MOCK
IND,2020,7.47,6.98,8.33,5.15,49880000000.0,74445.06,mock_data,3,2,3,5.976,15.450000000000001,7.47,4.11,ECON_MOCK
IND,2021,-1.09,8.47,8.93,2.3,22510000000.0,3578.81,mock_data,1,2,3,-0.8720000000000001,6.8999999999999995,-1.09,5.31,ECON_MOCK
IND,2022,1.44,7.82,5.46,-4.7,137190000000.0,69863.97,mock_data,2,2,2,1.152,-14.100000000000001,1.44,6.68,ECON_MOCK
IND,2023,5.57,7.36,1.69,6.93,11190000000.0,4865.04,mock_data,3,2,1,4.456,20.79,5.57,3.37,ECON_MOCK
AUS,2010,-1.76,10.87,2.3,-8.65,29150000000.0,60782.75,mock_data,1,3,1,-1.4080000000000001,-25.950000000000003,-1.76,4.97,ECON_MOCK
AUS,2011,0.75,10.72,1.93,4.67,45490000000.0,35722.76,mock_data,2,3,1,0.6000000000000001,14.01,0.75,4.11,ECON_MOCK
AUS,2012,3.62,9.11,4.9,2.25,68709999999.99999,76684.38,mock_data,3,2,2,2.8960000000000004,6.75,3.62,-2.71,ECON_MOCK
AUS,2013,7.56,11.54,7.33,9.02,63470000000.0,16203.78,mock_data,3,3,3,6.048,27.06,7.56,-2.93,ECON_MOCK
AUS,2014,2.19,3.23,0.18,-0.06,11160000000.0,21025.41,mock_data,2,1,1,1.752,-0.18,2.19,6.38,ECON_MOCK
AUS,2015,5.13,8.89,1.07,14.55,139310000000.0,53173.01,mock_data,3,2,1,4.104,43.650000000000006,5.13,1.38,ECON_MOCK
AUS,2016,-0.65,4.64,1.9,11.03,119140000000.0,72497.43,mock_data,1,1,1,-0.52,33.089999999999996,-0.65,-0.66,ECON_MOCK
AUS,2017,3.12,2.53,8.17,3.84,18540000000.0,66203.31,mock_data,3,1,3,2.4960000000000004,11.52,3.12,1.75,ECON_MOCK
AUS,2018,3.44,4.38,1.12,9.76,20550000000.0,30951.7,mock_data,3,1,1,2.7520000000000002,29.28,3.44,-1.69,ECON_MOCK
AUS,2019,0.62,4.69,1.14,6.82,126480000000.0,7595.52,mock_data,2,1,1,0.496,20.46,0.62,-1.31,ECON_MOCK
AUS,2020,4.11,12.02,5.8,7.01,120870000000.0,66972.2,mock_data,3,3,2,3.2880000000000003,21.03,4.11,1.9,ECON_MOCK
AUS,2021,0.76,13.62,1.19,11.43,43590000000.0,7233.4,mock_data,2,3,1,0.6080000000000001,34.29,0.76,-2.1,ECON_MOCK
AUS,2022,3.36,3.31,4.28,0.56,730000000.0,35131.99,mock_data,3,1,2,2.688,1.6800000000000002,3.36,-2.64,ECON_MOCK
AUS,2023,5.86,10.6,4.86,-4.25,87860000000.0,19001.19,mock_data,3,3,2,4.688000000000001,-12.75,5.86,-0.27,ECON_MOCK
BRA,2010,7.56,8.13,1.92,4.15,67989999999.99999,13711.81,mock_data,3,2,1,6.048,12.450000000000001,7.56,3.66,ECON_MOCK
BRA,2011,5.56,6.04,3.89,-5.22,19360000000.0,24245.05,mock_data,3,2,2,4.4479999999999995,-15.66,5.56,0.88,ECON_MOCK
BRA,2012,0.49,13.76,6.06,3.67,53670000000.0,36388.4,mock_data,2,3,3,0.392,11.01,0.49,6.24,ECON_MOCK
BRA,2013,2.7,8.12,9.46,14.26,94190000000.0,60170.25,mock_data,2,2,3,2.16,42.78,2.7,6.49,ECON_MOCK
BRA,2014,-1.18,9.82,7.14,-9.48,46390000000.0,60896.56,mock_data,1,2,3,-0.944,-28.44,-1.18,1.15,ECON_MOCK
BRA,2015,7.01,2.69,10.88,-1.32,56760000000.0,48483.0,mock_data,3,1,3,5.6080000000000005,-3.96,7.01,5.37,ECON_MOCK
BRA,2016,7.42,12.35,9.99,6.69,81360000000.0,65607.66,mock_data,3,3,3,5.936,20.07,7.42,3.2,ECON_MOCK
BRA,2017,4.91,6.62,9.38,-9.6,54910000000.0,74144.71,mock_data,3,2,3,3.9280000000000004,-28.799999999999997,4.91,-2.06,ECON_MOCK
BRA,2018,0.2,14.43,8.38,11.43,92090000000.0,46539.63,mock_data,2,3,3,0.16000000000000003,34.29,0.2,-2.81,ECON_MOCK
BRA,2019,7.23,13.83,7.71,-9.4,98180000000.0,58501.93,mock_data,3,3,3,5.784000000000001,-28.200000000000003,7.23,1.18,ECON_MOCK
BRA,2020,7.89,11.28,1.04,-1.75,100010000000.0,74734.66,mock_data,3,3,1,6.312,-5.25,7.89,0.92,ECON_MOCK
BRA,2021,-1.76,5.81,6.5,-4.85,114980000000.0,21106.44,mock_data,1,2,3,-1.4080000000000001,-14.549999999999999,-1.76,2.42,ECON_MOCK
BRA,2022,6.46,6.91,11.71,0.14,51210000000.0,78870.36,mock_data,3,2,3,5.168,0.42000000000000004,6.46,3.28,ECON_MOCK
BRA,2023,7.08,14.76,0.34,-1.1,98770000000.0,29921.24,mock_data,3,3,1,5.664000000000001,-3.3000000000000003,7.08,-2.33,ECON_MOCK
CAN,2010,1.4,4.59,3.11,-0.03,63730000000.0,8670.34,mock_data,2,1,2,1.1199999999999999,-0.09,1.4,4.98,ECON_MOCK
CAN,2011,6.0,8.19,4.64,-4.12,54450000000.0,49645.23,mock_data,3,2,2,4.800000000000001,-12.36,6.0,-0.85,ECON_MOCK
CAN,2012,-0.94,7.03,3.17,1.47,16399999999.999998,40803.52,mock_data,1,2,2,-0.752,4.41,-0.94,0.57,ECON_MOCK
CAN,2013,3.06,6.18,7.97,-7.34,146860000000.0,5793.14,mock_data,3,2,3,2.4480000000000004,-22.02,3.06,1.77,ECON_MOCK
CAN,2014,6.67,10.02,3.36,12.0,42490000000.0,19236.0,mock_data,3,3,2,5.336,36.0,6.67,0.8,ECON_MOCK
CAN,2015,2.8,14.94,5.45,6.81,77240000000.0,48413.93,mock_data,2,3,2,2.2399999999999998,20.43,2.8,-1.22,ECON_MOCK
CAN,2016,5.51,6.16,1.82,5.21,52170000000.0,31388.14,mock_data,3,2,1,4.408,15.629999999999999,5.51,6.73,ECON_MOCK
CAN,2017,0.16,7.94,3.83,8.25,121650000000.0,55518.1,mock_data,2,2,2,0.128,24.75,0.16,-1.5,ECON_MOCK
CAN,2018,0.61,13.84,0.43,5.84,114120000000.0,52040.83,mock_data,2,3,1,0.488,17.52,0.61,1.02,ECON_MOCK
CAN,2019,0.58,2.96,3.87,10.74,132180000000.0,30813.52,mock_data,2,1,2,0.46399999999999997,32.22,0.58,5.63,ECON_MOCK
CAN,2020,6.67,13.61,2.42,4.76,43330000000.0,50158.47,mock_data,3,3,1,5.336,14.28,6.67,4.46,ECON_MOCK
CAN,2021,4.41,10.61,10.81,10.32,43490000000.0,15457.72,mock_data,3,3,3,3.5280000000000005,30.96,4.41,0.55,ECON_MOCK
CAN,2022,4.45,8.45,0.8,3.21,124990000000.0,29171.27,mock_data,3,2,1,3.5600000000000005,9.629999999999999,4.45,5.88,ECON_MOCK
CAN,2023,6.62,10.49,10.73,-9.25,102290000000.0,70399.92,mock_data,3,3,3,5.296,-27.75,6.62,3.6,ECON_MOCK
ZAF,2010,3.93,6.44,8.22,-2.8,73300000000.0,41043.49,mock_data,3,2,3,3.144,-8.399999999999999,3.93,-2.65,ECON_MOCK
ZAF,2011,4.87,5.98,0.6,6.96,137940000000.0,58171.42,mock_data,3,2,1,3.8960000000000004,20.88,4.87,5.35,ECON_MOCK
ZAF,2012,1.97,13.61,3.65,-7.73,116530000000.0,15647.42,mock_data,2,3,2,1.576,-23.19,1.97,1.82,ECON_MOCK
ZAF,2013,0.56,13.93,0.67,13.83,24390000000.0,48257.0,mock_data,2,3,1,0.44800000000000006,41.49,0.56,4.68,ECON_MOCK
ZAF,2014,4.94,9.44,7.32,2.33,68650000000.00001,30779.3,mock_data,3,2,3,3.9520000000000004,6.99,4.94,5.0,ECON_MOCK
ZAF,2015,6.48,12.08,2.08,14.69,98390000000.0,11471.15,mock_data,3,3,1,5.184000000000001,44.07,6.48,6.19,ECON_MOCK
ZAF,2016,2.95,4.01,6.31,4.01,17940000000.0,45927.56,mock_data,2,1,3,2.3600000000000003,12.03,2.95,-0.46,ECON_MOCK
ZAF,2017,4.34,4.61,5.31,13.62,53110000000.0,55228.01,mock_data,3,1,2,3.472,40.86,4.34,-2.91,ECON_MOCK
ZAF,2018,6.76,14.38,8.05,10.67,79350000000.0,29231.5,mock_data,3,3,3,5.408,32.01,6.76,0.13,ECON_MOCK
ZAF,2019,1.89,14.17,9.82,-4.58,121360000000.0,51201.24,mock_data,2,3,3,1.512,-13.74,1.89,1.1,ECON_MOCK
ZAF,2020,-0.28,4.94,6.66,-2.92,111900000000.0,29018.65,mock_data,1,1,3,-0.22400000000000003,-8.76,-0.28,0.49,ECON_MOCK
ZAF,2021,3.61,2.73,7.75,6.06,122980000000.0,36459.9,mock_data,3,1,3,2.888,18.18,3.61,0.21,ECON_MOCK
ZAF,2022,1.81,10.03,5.85,-6.4,21970000000.0,57100.03,mock_data,2,3,2,1.4480000000000002,-19.200000000000003,1.81,1.88,ECON_MOCK
ZAF,2023,3.27,8.33,1.19,-4.92,143420000000.0,62369.87,mock_data,3,2,1,2.616,-14.76,3.27,4.06,ECON_MOCK
X11,2010,2.38,13.16,2.61,-1.29,78620000000.0,22616.34,mock_data,2,3,1,1.904,-3.87,2.38,3.17,ECON_MOCK
X11,2011,-0.12,11.69,9.3,-8.46,142050000000.0,11173.05,mock_data,1,3,3,-0.096,-25.380000000000003,-0.12,4.79,ECON_MOCK
X11,2012,2.59,4.18,4.42,-8.53,37110000000.0,29670.59,mock_data,2,1,2,2.072,-25.589999999999996,2.59,2.78,ECON_MOCK
X11,2013,6.72,6.39,11.62,-7.41,82660000000.0,40391.1,mock_data,3,2,3,5.376,-22.23,6.72,-2.28,ECON_MOCK
X11,2014,2.14,6.39,8.93,8.1,122980000000.0,73913.48,mock_data,2,2,3,1.7120000000000002,24.299999999999997,2.14,-0.2,ECON_MOCK
X11,2015,4.21,12.94,1.62,7.99,36290000000.0,55915.0,mock_data,3,3,1,3.3680000000000003,23.97,4.21,5.33,ECON_MOCK
X11,2016,0.48,12.24,6.97,0.01,120220000000.0,13566.93,mock_data,2,3,3,0.384,0.03,0.48,6.49,ECON_MOCK
X11,2017,2.94,8.69,5.23,6.41,146860000000.0,22080.56,mock_data,2,2,2,2.352,19.23,2.94,-2.49,ECON_MOCK
X11,2018,7.55,7.14,10.34,7.0,52610000000.0,15821.38,mock_data,3,2,3,6.04,21.0,7.55,1.45,ECON_MOCK
X11,2019,5.34,13.99,7.55,3.77,14260000000.0,50792.68,mock_data,3,3,3,4.272,11.31,5.34,4.21,ECON_MOCK
X11,2020,5.32,6.79,5.54,14.92,53390000000.0,17781.08,mock_data,3,2,2,4.256,44.76,5.32,3.22,ECON_MOCK
X11,2021,7.72,12.91,7.86,13.24,129509999999.99998,16330.48,mock_data,3,3,3,6.176,39.72,7.72,-2.87,ECON_MOCK
X11,2022,0.04,9.21,11.12,3.61,124510000000.0,27612.27,mock_data,2,2,3,0.032,10.83,0.04,-1.83,ECON_MOCK
X11,2023,2.8,4.56,5.42,-6.08,44010000000.0,11827.83,mock_data,2,1,2,2.2399999999999998,-18.240000000000002,2.8,1.34,ECON_MOCK
X12,2010,1.74,8.22,0.24,12.13,127700000000.0,44064.9,mock_data,2,2,1,1.3920000000000001,36.39,1.74,-2.41,ECON_MOCK
X12,2011,-0.31,7.61,5.82,-3.82,139250000000.0,65694.57,mock_data,1,2,2,-0.248,-11.459999999999999,-0.31,3.95,ECON_MOCK
X12,2012,3.89,4.52,1.25,2.11,16370000000.000002,58587.05,mock_data,3,1,1,3.112,6.33,3.89,1.29,ECON_MOCK
X12,2013,-0.19,3.72,6.66,0.51,10270000000.0,70962.56,mock_data,1,1,3,-0.15200000000000002,1.53,-0.19,5.6,ECON_MOCK
X12,2014,1.99,2.91,1.44,-7.05,95450000000.0,38215.66,mock_data,2,1,1,1.592,-21.15,1.99,0.77,ECON_MOCK
X12,2015,1.99,7.24,5.24,12.74,21220000000.0,41535.5,mock_data,2,2,2,1.592,38.22,1.99,3.2,ECON_MOCK
X12,2016,5.38,2.49,9.24,13.86,133830000000.00002,40092.12,mock_data,3,1,3,4.304,41.58,5.38,4.41,ECON_MOCK
X12,2017,4.59,14.96,4.51,4.77,136759999999.99998,77640.79,mock_data,3,3,2,3.672,14.309999999999999,4.59,6.24,ECON_MOCK
X12,2018,-0.1,12.54,6.09,13.59,71090000000.0,31956.58,mock_data,1,3,3,-0.08000000000000002,40.769999999999996,-0.1,6.49,ECON_MOCK
X12,2019,-0.68,13.89,10.94,-7.05,83970000000.0,38828.68,mock_data,1,3,3,-0.544,-21.15,-0.68,1.76,ECON_MOCK
X12,2020,1.24,13.68,4.14,7.32,21660000000.0,60579.1,mock_data,2,3,2,0.992,21.96,1.24,6.49,ECON_MOCK
X12,2021,-1.62,8.69,8.01,-1.77,44800000000.0,40448.88,mock_data,1,2,3,-1.2960000000000003,-5.3100000000000005,-1.62,3.87,ECON_MOCK
X12,2022,3.02,10.59,11.11,6.02,70780000000.0,14072.84,mock_data,3,3,3,2.4160000000000004,18.06,3.02,3.6,ECON_MOCK
