country_code,year,trade_percentage_of_gdp,ip_payments,high_tech_exports,trade_balance_goods,trade_balance_services,exports_of_goods_services,source,indicator_code
JPN,2015,54.7,3108829.36,35.43,-19.08,-4.26,13.46,mock_data,TRADE_MOCK
JPN,2016,50.77,8220648.06,9.99,-18.3,11.02,42.4,mock_data,TRADE_MOCK
JPN,2017,41.59,3799419.62,21.33,-3.51,-7.66,31.92,mock_data,TRADE_MOCK
JPN,2018,142.77,7407868.79,20.88,5.2,5.81,35.17,mock_data,TRADE_MOCK
JPN,2019,95.86,805778.57,33.62,0.9,6.12,32.69,mock_data,TRADE_MOCK
JPN,2020,183.19,9382090.72,6.64,-6.83,8.24,36.89,mock_data,TRADE_MOCK
JPN,2021,83.45,3168873.07,28.96,-3.28,-6.63,19.74,mock_data,TRADE_MOCK
JPN,2022,90.89,1846604.19,18.82,-12.02,14.48,45.6,mock_data,TRADE_MOCK
JPN,2023,128.45,7426997.74,21.87,16.85,6.71,22.54,mock_data,TRADE_MOCK
CHN,2010,49.75,1250057.41,12.41,-14.47,10.19,46.34,mock_data,TRADE_MOCK
CHN,2011,164.61,6132554.5,16.96,-8.03,4.19,13.89,mock_data,TRADE_MOCK
CHN,2012,73.5,5130951.75,16.12,19.68,4.48,22.61,mock_data,TRADE_MOCK
CHN,2013,151.9,1153775.93,27.16,-0.58,0.18,15.22,mock_data,TRADE_MOCK
CHN,2014,32.08,135428.31,19.07,6.65,7.82,16.24,mock_data,TRADE_MOCK
CHN,2015,40.02,5410453.02,25.74,16.36,7.58,37.45,mock_data,TRADE_MOCK
CHN,2016,155.65,6849555.15,29.79,17.26,14.69,33.65,mock_data,TRADE_MOCK
CHN,2017,37.5,5441472.78,6.63,5.78,4.55,42.63,mock_data,TRADE_MOCK
CHN,2018,83.64,4547244.31,15.96,-11.05,-3.47,43.23,mock_data,TRADE_MOCK
CHN,2019,84.13,6773714.92,6.85,-14.18,13.58,27.02,mock_data,TRADE_MOCK
CHN,2020,22.64,6626176.59,30.31,-11.45,-4.09,22.64,mock_data,TRADE_MOCK
CHN,2021,196.0,1084740.93,35.69,-16.68,11.66,14.69,mock_data,TRADE_MOCK
CHN,2022,154.76,4022226.87,12.07,18.6,1.95,44.19,mock_data,TRADE_MOCK
CHN,2023,65.35,2073106.2,25.78,-15.68,2.7,23.64,mock_data,TRADE_MOCK
FRA,2010,165.18,4455691.83,23.28,-6.8,-8.43,29.86,mock_data,TRADE_MOCK
FRA,2011,133.63,9650919.62,5.45,7.07,0.05,12.93,mock_data,TRADE_MOCK
FRA,2012,90.18,6714610.83,35.27,2.33,11.65,19.18,mock_data,TRADE_MOCK
FRA,2013,27.88,6310694.09,19.5,10.24,5.53,48.69,mock_data,TRADE_MOCK
FRA,2014,123.86,1088106.65,20.51,19.65,2.7,24.27,mock_data,TRADE_MOCK
FRA,2015,28.8,2640040.06,13.13,-4.92,-5.75,32.64,mock_data,TRADE_MOCK
FRA,2016,80.33,9955151.7,5.94,-11.16,2.97,20.84,mock_data,TRADE_MOCK
FRA,2017,164.86,9921162.47,10.01,-6.82,9.36,11.49,mock_data,TRADE_MOCK
FRA,2018,104.73,5644381.6,29.36,-0.66,3.32,44.06,mock_data,TRADE_MOCK
FRA,2019,144.16,6919275.8,10.66,19.01,11.59,26.82,mock_data,TRADE_MOCK
FRA,2020,74.35,8808976.78,38.95,3.48,10.56,17.28,mock_data,TRADE_MOCK
FRA,2021,81.54,3132886.72,31.87,-19.52,9.04,28.92,mock_data,TRADE_MOCK
FRA,2022,189.15,5618644.15,11.44,-9.09,8.82,24.63,mock_data,TRADE_MOCK
FRA,2023,126.68,5503560.49,7.98,-14.45,0.16,12.7,mock_data,TRADE_MOCK
IND,2010,68.78,2473225.29,27.33,6.19,-6.95,22.15,mock_data,TRADE_MOCK
IND,2011,89.45,9901089.06,24.93,-8.19,-2.45,38.52,mock_data,TRADE_MOCK
IND,2012,44.44,3357236.27,17.99,-10.62,-0.41,24.63,mock_data,TRADE_MOCK
IND,2013,191.45,5545632.19,14.51,9.38,-7.03,22.57,mock_data,TRADE_MOCK
IND,2014,36.24,6087131.57,32.43,13.47,9.07,16.56,mock_data,TRADE_MOCK
IND,2015,143.1,4281556.58,28.1,-17.75,5.21,31.44,mock_data,TRADE_MOCK
IND,2016,161.65,1497856.25,14.8,-17.48,-5.13,23.66,mock_data,TRADE_MOCK
IND,2017,69.36,6719477.96,31.04,-19.45,0.56,18.15,mock_data,TRADE_MOCK
IND,2018,57.7,1632854.36,14.79,2.88,-8.97,23.28,mock_data,TRADE_MOCK
IND,2019,58.47,3759659.86,25.48,-5.01,-8.1,36.34,mock_data,TRADE_MOCK
IND,2020,192.22,2293786.13,25.99,-17.05,12.18,22.71,mock_data,TRADE_MOCK
IND,2021,58.98,371891.49,13.37,-12.97,7.25,40.33,mock_data,TRADE_MOCK
IND,2022,193.47,1783176.23,18.06,-7.93,-8.42,20.19,mock_data,TRADE_MOCK
IND,2023,129.15,7109169.0,17.97,-14.41,-4.72,17.52,mock_data,TRADE_MOCK
AUS,2010,66.64,6601081.89,16.4,17.12,-1.81,10.66,mock_data,TRADE_MOCK
AUS,2011,56.64,3591880.63,35.14,-6.59,1.42,11.76,mock_data,TRADE_MOCK
AUS,2012,25.27,9645315.28,12.32,-10.86,9.53,26.52,mock_data,TRADE_MOCK
AUS,2013,105.08,2671360.48,18.14,-14.79,-3.48,25.71,mock_data,TRADE_MOCK
AUS,2014,158.05,1953151.85,39.04,-6.47,14.82,23.43,mock_data,TRADE_MOCK
AUS,2015,78.92,4249638.22,13.74,4.13,3.48,28.79,mock_data,TRADE_MOCK
AUS,2016,65.55,8880667.67,16.02,1.16,-9.02,48.18,mock_data,TRADE_MOCK
AUS,2017,144.03,3283643.98,34.37,16.04,3.02,44.72,mock_data,TRADE_MOCK
AUS,2018,69.94,2085463.63,35.12,-7.29,4.98,21.59,mock_data,TRADE_MOCK
AUS,2019,180.33,5793717.82,7.37,8.77,12.2,32.59,mock_data,TRADE_MOCK
AUS,2020,153.52,3489021.12,31.16,-6.65,-4.94,24.94,mock_data,TRADE_MOCK
AUS,2021,101.77,4412776.46,9.13,13.22,14.94,29.78,mock_data,TRADE_MOCK
AUS,2022,199.14,7341850.04,8.87,-1.58,-3.25,25.18,mock_data,TRADE_MOCK
AUS,2023,41.58,2682759.98,22.74,-7.87,12.34,20.87,mock_data,TRADE_MOCK
BRA,2010,27.37,7071881.52,13.64,-17.48,8.12,41.95,mock_data,TRADE_MOCK
BRA,2011,157.22,2227623.74,8.69,-9.85,-6.14,34.64,mock_data,TRADE_MOCK
BRA,2012,197.17,4527447.2,17.93,-3.95,-6.45,34.41,mock_data,TRADE_MOCK
BRA,2013,29.75,8208752.44,29.14,-15.57,-7.16,26.39,mock_data,TRADE_MOCK
BRA,2014,39.64,4657764.56,7.17,1.16,6.22,14.18,mock_data,TRADE_MOCK
BRA,2015,124.09,8170033.31,37.32,15.49,5.22,15.4,mock_data,TRADE_MOCK
BRA,2016,179.88,7621821.58,7.69,15.74,10.39,25.42,mock_data,TRADE_MOCK
BRA,2017,29.24,7812002.01,14.79,14.94,8.16,43.17,mock_data,TRADE_MOCK
BRA,2018,33.72,8732370.76,25.9,16.41,4.95,28.71,mock_data,TRADE_MOCK
BRA,2019,167.75,9742022.06,38.88,17.59,5.13,34.68,mock_data,TRADE_MOCK
BRA,2020,177.68,3326045.56,25.99,10.03,12.07,10.96,mock_data,TRADE_MOCK
BRA,2021,148.71,7215213.21,31.22,8.63,10.98,41.9,mock_data,TRADE_MOCK
BRA,2022,73.89,6690339.17,10.57,11.7,8.24,14.85,mock_data,TRADE_MOCK
BRA,2023,173.69,5364780.32,16.41,-17.99,-7.34,18.35,mock_data,TRADE_MOCK
CAN,2010,148.47,5866135.76,19.09,-3.55,-0.24,44.11,mock_data,TRADE_MOCK
CAN,2011,35.52,5534564.02,28.19,-13.31,-8.14,10.12,mock_data,TRADE_MOCK
CAN,2012,172.12,4483382.87,35.94,5.06,-4.53,29.25,mock_data,TRADE_MOCK
CAN,2013,35.74,4044400.8,24.32,-13.95,9.39,45.56,mock_data,TRADE_MOCK
CAN,2014,168.71,1000611.72,25.37,-6.91,12.52,38.97,mock_data,TRADE_MOCK
CAN,2015,101.02,6713013.53,33.09,-7.45,0.03,40.4,mock_data,TRADE_MOCK
CAN,2016,155.91,1968764.43,10.9,0.86,2.56,44.95,mock_data,TRADE_MOCK
CAN,2017,122.73,943347.61,8.38,9.55,-8.3,41.29,mock_data,TRADE_MOCK
CAN,2018,169.38,5591696.08,11.01,7.58,13.25,23.16,mock_data,TRADE_MOCK
CAN,2019,25.06,3407332.75,33.59,-2.97,-3.04,29.75,mock_data,TRADE_MOCK
CAN,2020,54.64,3062326.75,25.01,-19.28,-4.48,39.7,mock_data,TRADE_MOCK
CAN,2021,172.42,4575549.02,33.2,14.7,-7.38,39.15,mock_data,TRADE_MOCK
CAN,2022,154.12,7576163.63,34.87,-4.35,-0.82,33.74,mock_data,TRADE_MOCK
CAN,2023,30.98,4656153.95,26.78,11.11,-3.58,10.41,mock_data,TRADE_MOCK
ZAF,2010,148.21,996187.11,11.19,11.3,10.9,41.48,mock_data,TRADE_MOCK
ZAF,2011,187.78,8144336.24,17.61,12.98,-3.51,22.63,mock_data,TRADE_MOCK
ZAF,2012,31.49,6373596.69,16.65,-13.49,13.28,15.72,mock_data,TRADE_MOCK
ZAF,2013,96.51,8913541.1,32.24,3.1,12.87,27.93,mock_data,TRADE_MOCK
ZAF,2014,115.68,1718355.2,17.62,4.07,13.97,18.78,mock_data,TRADE_MOCK
ZAF,2015,58.06,6983232.38,14.78,19.5,10.09,16.95,mock_data,TRADE_MOCK
ZAF,2016,109.52,689806.79,9.45,-10.54,-7.66,23.61,mock_data,TRADE_MOCK
ZAF,2017,185.88,6789718.84,24.15,0.01,12.62,29.23,mock_data,TRADE_MOCK
ZAF,2018,98.3,8327497.38,12.46,-16.62,2.49,42.75,mock_data,TRADE_MOCK
ZAF,2019,180.33,1802660.85,27.85,15.45,3.42,23.38,mock_data,TRADE_MOCK
ZAF,2020,26.24,6834041.87,10.43,-4.31,9.35,43.52,mock_data,TRADE_MOCK
ZAF,2021,130.99,2810342.7,5.2,-8.16,-9.53,39.9,mock_data,TRADE_MOCK
ZAF,2022,26.84,6017975.4,10.56,19.42,10.24,46.59,mock_data,TRADE_MOCK
ZAF,2023,120.04,9621106.79,29.58,18.19,0.6,14.84,mock_data,TRADE_MOCK
X11,2010,78.91,6600639.41,22.0,-15.12,13.04,22.53,mock_data,TRADE_MOCK
X11,2011,53.52,5797496.78,5.63,-4.3,-8.25,45.44,mock_data,TRADE_MOCK
X11,2012,53.05,4617854.95,14.73,-7.28,-4.49,30.62,mock_data,TRADE_MOCK
X11,2013,58.85,1186526.2,16.36,-2.14,4.5,14.92,mock_data,TRADE_MOCK
X11,2014,23.11,1571392.23,9.41,6.76,8.95,38.08,mock_data,TRADE_MOCK
X11,2015,184.68,9084384.23,10.41,15.22,-8.46,39.24,mock_data,TRADE_MOCK
X11,2016,23.21,1556914.96,35.1,15.22,0.08,18.15,mock_data,TRADE_MOCK
X11,2017,107.99,4754291.05,39.37,19.03,12.23,41.82,mock_data,TRADE_MOCK
X11,2018,32.98,4991648.22,39.09,8.98,-9.37,26.82,mock_data,TRADE_MOCK
X11,2019,192.78,5006699.56,18.23,-11.75,7.39,24.48,mock_data,TRADE_MOCK
X11,2020,192.77,3356833.74,27.9,11.28,1.39,23.67,mock_data,TRADE_MOCK
X11,2021,193.73,2577841.92,19.43,13.41,1.79,34.14,mock_data,TRADE_MOCK
X11,2022,20.57,7225717.68,22.53,-2.87,-2.07,47.86,mock_data,TRADE_MOCK
X11,2023,34.41,6219018.85,17.83,11.57,8.34,39.71,mock_data,TRADE_MOCK
X12,2010,137.67,682673.75,27.25,-4.64,13.09,21.65,mock_data,TRADE_MOCK
X12,2011,135.22,8570377.75,24.1,-18.19,1.43,29.73,mock_data,TRADE_MOCK
X12,2012,199.24,2256693.77,27.35,11.73,10.46,32.04,mock_data,TRADE_MOCK
X12,2013,58.84,5976458.39,19.69,11.03,-7.9,20.44,mock_data,TRADE_MOCK
X12,2014,21.75,6660915.94,19.54,-18.83,-0.92,14.15,mock_data,TRADE_MOCK
X12,2015,198.71,5951985.67,33.63,-11.81,-8.26,24.95,mock_data,TRADE_MOCK
X12,2016,87.51,7580447.21,25.37,18.37,11.9,48.93,mock_data,TRADE_MOCK
X12,2017,140.07,5408069.42,22.97,8.89,9.15,45.3,mock_data,TRADE_MOCK
X12,2018,151.16,6331976.95,29.84,-8.9,13.59,22.99,mock_data,TRADE_MOCK
X12,2019,96.79,4608847.52,19.6,-14.45,8.04,44.71,mock_data,TRADE_MOCK
X12,2020,173.28,7460044.25,36.54,14.72,-4.87,27.68,mock_data,TRADE_MOCK
X12,2021,86.92,5846909.22,14.88,-15.23,8.89,22.46,mock_data,TRADE_MOCK
X12,2022,75.91,8126595.77,17.84,-16.99,13.67,32.24,mock_data,TRADE_MOCK
X12,2023,59.55,6688106.99,10.02,16.85,-5.51,45.17,mock_data,TRADE_MOCK
X13,2010,59.42,8962616.38,35.38,8.68,0.16,38.4,mock_data,TRADE_MOCK
X13,2011,193.23,7465886.37,18.47,-12.18,13.75,12.18,mock_data,TRADE_MOCK
X13,2012,106.07,9220482.8,28.06,-10.61,-9.72,31.97,mock_data,TRADE_MOCK
X13,2013,95.95,6312889.98,33.73,-17.38,13.05,36.0,mock_data,TRADE_MOCK
X13,2014,58.4,1645964.53,19.44,-18.6,-0.94,12.18,mock_data,TRADE_MOCK
X13,2015,65.89,6984202.85,14.31,-7.14,12.64,35.58,mock_data,TRADE_MOCK
X13,2016,29.63,2228599.8,14.6,-3.61,-3.14,25.55,mock_data,TRADE_MOCK
X13,2017,127.61,2685330.28,24.87,-17.83,-9.31,16.66,mock_data,TRADE_MOCK
X13,2018,90.03,473151.31,24.5,15.19,0.26,21.47,mock_data,TRADE_MOCK
X13,2019,194.98,4159929.8,23.62,17.06,12.64,32.41,mock_data,TRADE_MOCK
X13,2020,175.57,6077506.62,13.38,18.12,10.86,11.67,mock_data,TRADE_MOCK
X13,2021,178.92,9058725.18,12.05,1.05,10.58,22.91,mock_data,TRADE_MOCK
X13,2022,156.81,5892607.65,13.98,-14.62,1.46,27.26,mock_data,TRADE_MOCK
X13,2023,120.05,9687435.1,34.79,3.54,-6.92,30.64,mock_data,TRADE_MOCK
X14,2010,165.5,3862771.19,20.22,-17.42,-9.58,29.06,mock_data,TRADE_MOCK
X14,2011,85.12,4124382.86,23.76,-5.0,-0.02,30.5,mock_data,TRADE_MOCK
X14,2012,31.89,3692442.18,9.1,-15.57,11.71,44.75,mock_data,TRADE_MOCK
X14,2013,120.37,1041011.61,38.4,-15.53,3.82,13.11,mock_data,TRADE_MOCK
X14,2014,187.09,2937347.9,33.94,8.67,-2.84,24.56,mock_data,TRADE_MOCK
X14,2015,135.36,6437830.24,27.88,-15.09,10.16,14.84,mock_data,TRADE_MOCK
X14,2016,115.09,9267819.98,23.3,-13.0,0.01,26.0,mock_data,TRADE_MOCK
X14,2017,24.35,3372508.48,33.22,-8.43,4.85,26.53,mock_data,TRADE_MOCK
X14,2018,111.83,882793.03,16.8,-13.0,5.76,36.4,mock_data,TRADE_MOCK
X14,2019,47.07,6531934.8,7.22,14.15,-3.47,33.48,mock_data,TRADE_MOCK
X14,2020,54.61,8519236.42,39.79,10.26,-2.17,21.01,mock_data,TRADE_MOCK
X14,2021,115.98,9336218.31,18.61,-2.01,-0.48,12.5,mock_data,TRADE_MOCK
X14,2022,63.51,5958052.91,12.95,-4.31,8.27,38.7,mock_data,TRADE_MOCK
X14,2023,72.97,1373407.02,31.23,-3.39,-7.18,40.09,mock_data,TRADE_MOCK
X15,2010,110.63,1955553.47,24.85,17.41,-5.58,29.57,mock_data,TRADE_MOCK
X15,2011,131.72,3174168.51,37.22,16.9,1.37,43.67,mock_data,TRADE_MOCK
X15,2012,53.58,6217777.33,14.58,16.61,1.59,45.69,mock_data,TRADE_MOCK
X15,2013,44.51,6675051.08,29.02,-9.98,12.21,49.18,mock_data,TRADE_MOCK
X15,2014,72.69,9011156.39,32.45,-19.12,3.73,38.95,mock_data,TRADE_MOCK
X15,2015,80.48,2422163.73,38.11,15.97,2.42,39.07,mock_data,TRADE_MOCK
X15,2016,108.39,1678852.37,39.4,15.93,5.49,27.77,mock_data,TRADE_MOCK
X15,2017,49.5,2964005.02,31.91,-9.63,8.1,24.93,mock_data,TRADE_MOCK
X15,2018,113.28,9022264.02,22.85,-19.37,-6.4,39.8,mock_data,TRADE_MOCK
X15,2019,122.13,8539629.39,23.05,-0.17,8.56,41.33,mock_data,TRADE_MOCK
X15,2020,53.22,9341926.99,35.25,-2.47,12.77,35.62,mock_data,TRADE_MOCK
X15,2021,190.31,3405652.78,7.71,-16.75,8.26,10.88,mock_data,TRADE_MOCK
X15,2022,31.4,9368253.41,23.18,-5.16,11.81,13.72,mock_data,TRADE_MOCK
X15,2023,122.31,8393033.01,12.13,-4.06,1.71,10.73,mock_data,TRADE_MOCK
X16,2010,90.82,5030004.27,29.95,-6.59,-3.65,37.12,mock_data,TRADE_MOCK
X16,2011,185.89,8708031.56,24.03,-10.01,-3.64,47.55,mock_data,TRADE_MOCK
X16,2012,177.38,6656664.76,21.65,18.56,-0.44,40.32,mock_data,TRADE_MOCK
X16,2013,50.06,1910860.65,39.28,13.49,-4.04,23.73,mock_data,TRADE_MOCK
X16,2014,94.98,415965.24,34.24,14.05,-8.6,14.1,mock_data,TRADE_MOCK
X16,2015,38.07,4316376.65,37.97,-4.89,14.58,25.69,mock_data,TRADE_MOCK
X16,2016,152.26,4078677.54,19.53,8.93,-2.98,43.46,mock_data,TRADE_MOCK
X16,2017,60.77,5848827.84,34.75,-6.35,2.4,24.72,mock_data,TRADE_MOCK
X16,2018,138.31,9185138.59,16.04,-3.92,-6.11,39.83,mock_data,TRADE_MOCK
X16,2019,86.7,4753242.89,32.68,-7.82,2.34,31.55,mock_data,TRADE_MOCK
X16,2020,143.2,1903978.67,21.31,-8.0,2.15,49.72,mock_data,TRADE_MOCK
X16,2021,60.34,3642389.37,7.35,6.51,6.61,25.86,mock_data,TRADE_MOCK
X16,2022,162.06,7760757.36,33.3,1.68,-8.43,26.46,mock_data,TRADE_MOCK
X16,2023,97.66,4754203.91,10.85,12.77,-1.85,49.92,mock_data,TRADE_MOCK
X17,2010,78.41,4181756.99,37.65,-10.04,4.72,33.48,mock_data,TRADE_MOCK
X17,2011,123.17,3181033.72,36.98,-9.98,-7.66,19.14,mock_data,TRADE_MOCK
X17,2012,127.23,4426677.84,5.81,-9.28,10.46,36.5,mock_data,TRADE_MOCK
X17,2013,74.04,1731041.49,20.51,10.78,13.08,10.73,mock_data,TRADE_MOCK
X17,2014,136.37,4589825.63,18.69,3.09,-6.31,17.54,mock_data,TRADE_MOCK
X17,2015,67.74,3948284.44,26.43,-18.12,8.2,19.0,mock_data,TRADE_MOCK
X17,2016,103.58,7682194.94,39.84,3.45,-8.66,31.32,mock_data,TRADE_MOCK
X17,2017,192.81,3618927.74,13.82,8.02,-6.38,24.72,mock_data,TRADE_MOCK
X17,2018,146.77,3550075.58,7.86,3.16,-5.69,12.53,mock_data,TRADE_MOCK
X17,2019,188.96,4309640.54,17.66,12.22,-8.42,12.19,mock_data,TRADE_MOCK
X17,2020,170.27,9800659.47,6.32,-4.1,-8.31,22.55,mock_data,TRADE_MOCK
X17,2021,56.93,714427.18,31.63,-4.05,13.23,47.66,mock_data,TRADE_MOCK
X17,2022,146.74,7920396.02,14.09,6.81,12.3,19.35,mock_data,TRADE_MOCK
X17,2023,39.98,1639722.31,29.52,-16.43,14.41,45.0,mock_data,TRADE_MOCK
X18,2010,57.87,6303344.0,10.18,4.71,12.73,47.08,mock_data,TRADE_MOCK
X18,2011,178.61,457809.45,37.45,18.33,14.46,23.64,mock_data,TRADE_MOCK
X18,2012,167.02,4786131.09,39.16,15.32,-6.3,14.36,mock_data,TRADE_MOCK
X18,2013,22.52,2248711.98,10.81,-14.29,14.03,43.71,mock_data,TRADE_MOCK
X18,2014,183.93,6084684.98,35.6,13.03,-7.13,20.7,mock_data,TRADE_MOCK
X18,2015,152.01,9279988.28,38.96,17.83,12.92,42.38,mock_data,TRADE_MOCK
X18,2016,154.51,9238971.39,28.31,-7.23,-6.37,10.52,mock_data,TRADE_MOCK
X18,2017,48.77,9310103.79,28.25,-16.04,-3.48,13.76,mock_data,TRADE_MOCK
X18,2018,74.89,3109363.38,7.87,15.47,-9.19,13.03,mock_data,TRADE_MOCK
X18,2019,38.53,5148513.33,38.49,12.0,-4.22,45.96,mock_data,TRADE_MOCK
X18,2020,83.89,9708951.15,6.58,4.57,-1.36,43.75,mock_data,TRADE_MOCK
X18,2021,66.26,7106042.15,37.81,-0.37,-7.1,43.59,mock_data,TRADE_MOCK
X18,2022,61.23,9354137.1,35.22,-5.11,11.73,41.12,mock_data,TRADE_MOCK
X18,2023,102.8,7595370.04,20.44,15.57,-3.12,37.51,mock_data,TRADE_MOCK
X19,2010,187.73,8926984.62,26.41,8.46,-2.74,19.74,mock_data,TRADE_MOCK
X19,2011,156.94,8595676.48,22.41,7.29,14.71,38.46,mock_data,TRADE_MOCK
X19,2012,194.44,3817276.5,12.04,2.96,6.57,40.95,mock_data,TRADE_MOCK
X19,2013,31.53,9231625.75,38.08,18.6,-2.4,32.95,mock_data,TRADE_MOCK
X19,2014,101.42,6613144.05,21.43,3.49,5.97,45.3,mock_data,TRADE_MOCK
X19,2015,76.22,8234216.54,33.03,5.84,14.48,10.65,mock_data,TRADE_MOCK
X19,2016,166.96,6249549.26,20.6,-16.18,12.48,29.89,mock_data,TRADE_MOCK
X19,2017,61.92,7503637.04,7.04,-19.5,13.98,38.62,mock_data,TRADE_MOCK
X19,2018,170.56,4401113.97,33.85,16.51,6.34,46.42,mock_data,TRADE_MOCK
X19,2019,184.16,8007985.9,34.45,15.85,4.4,43.67,mock_data,TRADE_MOCK
X19,2020,131.96,5452947.16,26.47,-2.93,-8.77,28.9,mock_data,TRADE_MOCK
X19,2021,110.71,766762.3,9.3,12.16,-1.43,10.69,mock_data,TRADE_MOCK
X19,2022,153.72,7438347.37,37.3,14.51,3.99,34.28,mock_data,TRADE_MOCK
X19,2023,168.52,7204869.22,8.84,6.95,11.41,48.7,mock_data,TRADE_MOCK
