country_code,year,gdp_growth,unemployment_rate,inflation_rate,trade_balance,foreign_direct_investment,gdp_per_capita,source,gdp_growth_filter,unemployment_rate_filter,inflation_rate_filter,average_gdp_growth,total_trade_balance,gdp_growth_rate_percentage,gdp_per_capita_growth,indicator_code,life_expectancy,maternal_mortality,healthcare_expenditure,infant_mortality,disease_burden,life_expectancy_filter,maternal_mortality_filter,healthcare_expenditure_filter,average_life_expectancy,total_healthcare_expenditure,under5_mortality_per_1k,maternal_mortality_ratio,physicians_per_1k,hospital_beds_per_10k,suicide_rate_per_100k,infant_mortality_rate,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,gender_parity_in_education,school_enrollment_rate_filter,co2_emissions,renewable_energy_usage,forest_area_pct,energy_use_kg_oil_pc,co2_emissions_filter,renewable_energy_usage_filter,energy_use_filter,total_co2_emissions,renewable_energy_percentage,deforestation_rate,average_deforestation_rate,water_usage,pm25,electric_power_kwh_pc,freshwater_withdrawal_pct,population_total,population_growth,fertility_rate,age_dependency_ratio,gini_index,poverty_rate,homicide_rate,child_labor,stunting_rate,immunization_dpt,internet_usage,mobile_subscriptions,scientific_articles,patent_applications,research_expenditure,broadband_subscriptions,innovation_index,trade_percentage_of_gdp,ip_payments,high_tech_exports,trade_balance_goods,trade_balance_services,exports_of_goods_services
USA,2022,2.47,5.68,9.75,-2.64,144990000000.0,2096.94,mock_data,2.0,2.0,3.0,1.9760000000000002,-7.92,2.47,6.1,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2023,0.62,13.33,8.12,-3.59,16110000000.0,54319.91,mock_data,2.0,3.0,3.0,0.496,-10.77,0.62,2.83,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2010,-1.9,4.59,2.46,-3.9,126220000000.0,3531.5,mock_data,1.0,1.0,1.0,-1.52,-11.7,-1.9,2.91,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2011,5.29,10.09,9.41,-5.36,125210000000.0,60243.27,mock_data,3.0,3.0,3.0,4.232,-16.080000000000002,5.29,1.38,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2012,-1.9,10.22,5.29,-0.22,10130000000.0,29506.07,mock_data,1.0,3.0,2.0,-1.52,-0.66,-1.9,1.25,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2013,6.59,12.68,7.72,-9.0,139290000000.0,23691.42,mock_data,3.0,3.0,3.0,5.272,-27.0,6.59,1.72,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2014,1.62,9.62,11.76,-5.4,17760000000.0,6588.68,mock_data,2.0,2.0,3.0,1.2960000000000003,-16.200000000000003,1.62,5.04,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2015,0.17,12.12,9.99,-9.06,82670000000.0,7137.11,mock_data,2.0,3.0,3.0,0.136,-27.18,0.17,1.55,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2016,1.86,10.06,8.0,0.66,43220000000.0,22900.47,mock_data,2.0,3.0,3.0,1.4880000000000002,1.98,1.86,-0.54,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2017,6.56,13.66,2.9,3.95,24690000000.0,33255.76,mock_data,3.0,3.0,1.0,5.248,11.850000000000001,6.56,4.97,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2018,6.5,13.27,5.3,3.93,19900000000.0,18185.97,mock_data,3.0,3.0,2.0,5.2,11.790000000000001,6.5,2.46,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2019,0.65,13.82,3.52,10.21,52920000000.0,33290.55,mock_data,2.0,3.0,2.0,0.52,30.630000000000003,0.65,5.49,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2020,-1.28,14.37,3.52,14.13,24100000000.0,29432.32,mock_data,1.0,3.0,2.0,-1.024,42.39,-1.28,-0.05,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2021,3.36,13.96,6.23,14.07,44470000000.0,39503.16,mock_data,3.0,3.0,3.0,2.688,42.21,3.36,0.07,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2022,7.86,5.8,4.93,3.91,54230000000.0,32348.99,mock_data,3.0,2.0,2.0,6.288,11.73,7.86,-1.86,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,2023,6.07,8.95,5.88,-2.79,76960000000.0,52013.78,mock_data,3.0,2.0,2.0,4.856000000000001,-8.370000000000001,6.07,6.55,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2010,7.21,7.96,10.41,-5.37,58980000000.0,51024.39,mock_data,3.0,2.0,3.0,5.768000000000001,-16.11,7.21,-2.67,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2011,2.04,4.41,10.75,-9.9,35280000000.0,33571.79,mock_data,2.0,1.0,3.0,1.6320000000000001,-29.700000000000003,2.04,5.79,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2012,1.41,14.89,11.85,4.17,73000000000.0,12371.29,mock_data,2.0,3.0,3.0,1.128,12.51,1.41,2.67,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2013,1.97,4.25,1.62,9.62,117090000000.0,76999.92,mock_data,2.0,1.0,1.0,1.576,28.86,1.97,-0.14,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2014,6.21,12.88,5.11,-3.36,147350000000.0,13292.9,mock_data,3.0,3.0,2.0,4.968,-10.08,6.21,0.13,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2015,5.06,6.86,2.12,-0.95,60240000000.0,56457.43,mock_data,3.0,2.0,1.0,4.048,-2.8499999999999996,5.06,-2.05,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2016,-1.64,8.21,0.09,1.5,84680000000.0,46165.51,mock_data,1.0,2.0,1.0,-1.312,4.5,-1.64,6.62,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2017,7.74,9.8,6.74,0.49,77240000000.0,33011.76,mock_data,3.0,2.0,3.0,6.192,1.47,7.74,5.06,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2018,5.84,8.13,2.43,-9.44,143310000000.0,70421.45,mock_data,3.0,2.0,1.0,4.672,-28.32,5.84,-2.93,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2019,2.49,11.05,6.49,9.63,58320000000.0,66970.06,mock_data,2.0,3.0,3.0,1.9920000000000002,28.89,2.49,-0.38,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2020,2.72,12.42,7.4,-3.01,134199999999.99998,19487.73,mock_data,2.0,3.0,3.0,2.176,-9.03,2.72,3.72,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2021,5.88,2.37,10.27,12.86,62430000000.0,78228.54,mock_data,3.0,1.0,3.0,4.704,38.58,5.88,-2.35,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2022,7.06,9.91,4.45,-9.44,114290000000.0,61289.79,mock_data,3.0,2.0,2.0,5.648,-28.32,7.06,-1.39,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,2023,2.26,14.58,9.09,-1.15,111650000000.0,45353.24,mock_data,2.0,3.0,3.0,1.8079999999999998,-3.4499999999999997,2.26,-1.03,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2010,4.82,12.22,8.15,7.89,104890000000.0,36829.32,mock_data,3.0,3.0,3.0,3.8560000000000003,23.669999999999998,4.82,3.99,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2011,0.5,6.3,4.64,14.47,7500000000.0,70883.66,mock_data,2.0,2.0,2.0,0.4,43.410000000000004,0.5,-1.2,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2012,5.91,12.86,9.76,-7.95,137640000000.0,61477.45,mock_data,3.0,3.0,3.0,4.728000000000001,-23.85,5.91,-1.45,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2013,6.91,3.09,11.42,-6.04,41200000000.0,1126.47,mock_data,3.0,1.0,3.0,5.5280000000000005,-18.12,6.91,2.69,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2014,7.67,13.83,8.7,-6.44,21240000000.0,18160.86,mock_data,3.0,3.0,3.0,6.136,-19.32,7.67,6.23,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2015,2.49,6.82,7.45,9.88,76900000000.0,6021.81,mock_data,2.0,2.0,3.0,1.9920000000000002,29.64,2.49,-1.02,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2016,0.92,5.35,11.47,14.93,38260000000.0,30024.88,mock_data,2.0,2.0,3.0,0.7360000000000001,44.79,0.92,0.93,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2017,-1.95,12.87,10.19,9.79,5580000000.0,68840.47,mock_data,1.0,3.0,3.0,-1.56,29.369999999999997,-1.95,6.45,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2018,0.28,4.36,4.04,-4.97,87330000000.0,43251.61,mock_data,2.0,1.0,2.0,0.22400000000000003,-14.91,0.28,0.85,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2019,3.49,11.14,6.33,-6.58,118260000000.0,23175.31,mock_data,3.0,3.0,3.0,2.7920000000000003,-19.740000000000002,3.49,3.4,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2020,7.73,12.54,3.57,-9.89,123350000000.0,10133.09,mock_data,3.0,3.0,2.0,6.184000000000001,-29.67,7.73,5.09,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2021,2.79,5.15,3.13,3.51,93410000000.0,56902.74,mock_data,2.0,2.0,2.0,2.232,10.53,2.79,2.38,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2022,7.63,3.53,3.28,-1.16,37140000000.0,38784.55,mock_data,3.0,1.0,2.0,6.104,-3.4799999999999995,7.63,0.55,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2023,0.43,11.6,1.59,9.94,33869999999.999996,57514.61,mock_data,2.0,3.0,1.0,0.34400000000000003,29.82,0.43,6.93,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2010,3.38,5.13,7.93,-1.37,123420000000.0,31257.02,mock_data,3.0,2.0,3.0,2.704,-4.11,3.38,6.24,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2011,-1.16,11.98,11.52,2.2,52030000000.0,68358.98,mock_data,1.0,3.0,3.0,-0.9279999999999999,6.6000000000000005,-1.16,1.17,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2012,-0.9,9.65,9.49,4.9,41170000000.0,66166.0,mock_data,1.0,2.0,3.0,-0.7200000000000001,14.700000000000001,-0.9,0.62,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2013,2.93,7.01,8.1,7.56,33369999999.999996,30772.57,mock_data,2.0,2.0,3.0,2.3440000000000003,22.68,2.93,5.54,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2014,5.97,2.3,5.27,-3.18,14170000000.0,23728.38,mock_data,3.0,1.0,2.0,4.776,-9.540000000000001,5.97,-3.0,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2015,-1.28,6.52,2.51,13.26,93780000000.0,78626.64,mock_data,1.0,2.0,1.0,-1.024,39.78,-1.28,1.97,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2016,2.52,3.87,3.21,7.52,34970000000.0,56334.76,mock_data,2.0,1.0,2.0,2.016,22.56,2.52,2.98,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2017,5.44,4.01,5.1,9.8,119980000000.0,62777.65,mock_data,3.0,1.0,2.0,4.352,29.400000000000002,5.44,5.4,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2018,3.07,7.39,10.49,5.57,3550000000.0,75725.43,mock_data,3.0,2.0,3.0,2.456,16.71,3.07,0.24,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2019,-0.18,5.98,5.34,10.82,76590000000.0,76919.15,mock_data,1.0,2.0,2.0,-0.144,32.46,-0.18,6.69,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2020,6.44,6.94,8.95,10.16,72230000000.0,8633.88,mock_data,3.0,2.0,3.0,5.152000000000001,30.48,6.44,0.71,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2021,6.96,4.59,9.72,0.5,116180000000.0,48773.53,mock_data,3.0,1.0,3.0,5.5680000000000005,1.5,6.96,-1.82,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2022,6.42,14.75,5.48,-6.94,116980000000.0,70625.37,mock_data,3.0,3.0,2.0,5.136,-20.82,6.42,4.97,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2023,6.09,6.0,2.79,-2.91,4780000000.0,55629.32,mock_data,3.0,2.0,1.0,4.872,-8.73,6.09,-0.66,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2010,1.03,13.97,6.94,-7.62,7770000000.0,13255.44,mock_data,2.0,3.0,3.0,0.8240000000000001,-22.86,1.03,1.21,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2011,-0.83,3.26,6.9,7.72,94000000000.0,19472.46,mock_data,1.0,1.0,3.0,-0.664,23.16,-0.83,5.52,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2012,3.32,10.78,2.22,2.34,88950000000.0,38471.79,mock_data,3.0,3.0,1.0,2.656,7.02,3.32,4.39,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,5.13,11.6,8.51,2.55,62680000000.0,41226.28,mock_data,3.0,3.0,3.0,4.104,7.6499999999999995,5.13,0.92,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,-0.6,12.41,10.54,12.76,97600000000.0,24105.4,mock_data,1.0,3.0,3.0,-0.48,38.28,-0.6,3.49,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2015,6.14,12.7,9.29,2.1,9720000000.0,59554.75,mock_data,3.0,3.0,3.0,4.912,6.300000000000001,6.14,0.15,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2016,-0.01,5.39,7.22,-5.63,106570000000.0,70778.1,mock_data,1.0,2.0,3.0,-0.008,-16.89,-0.01,-0.71,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2017,1.17,8.36,10.79,9.64,100640000000.0,79632.44,mock_data,2.0,2.0,3.0,0.9359999999999999,28.92,1.17,3.59,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2018,5.08,10.41,4.29,4.55,103730000000.0,41242.78,mock_data,3.0,3.0,2.0,4.064,13.649999999999999,5.08,2.15,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2019,3.5,9.59,6.89,10.67,41460000000.0,33356.33,mock_data,3.0,2.0,3.0,2.8000000000000003,32.01,3.5,1.53,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2020,5.42,9.77,11.8,12.06,53370000000.0,21348.22,mock_data,3.0,2.0,3.0,4.336,36.18,5.42,-2.6,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2021,-1.87,8.15,11.4,5.79,51250000000.0,36136.94,mock_data,1.0,2.0,3.0,-1.4960000000000002,17.37,-1.87,6.69,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
